total dirs files folder_names file_names fo_and_fi_names repo_name
12 0.58 0.42 ".travis 1. Contributing 2. Getting Support 3. Installation 4. User Guides 5. Administrator Guides 6. Developer Guides " ".gitignore .travis.yml README.md logo-dark.svg mockup.png " ".gitignore .travis.yml .travis 1. Contributing 2. Getting Support 3. Installation 4. User Guides 5. Administrator Guides 6. Developer Guides README.md logo-dark.svg mockup.png " RocketChat_Rocket
9 0.22 0.78 "deploying source " ".gitignore .nojekyll .travis.yml LICENSE Makefile NSLS-II-docs-deploy.enc README.md " ".gitignore .nojekyll .travis.yml LICENSE Makefile NSLS-II-docs-deploy.enc README.md deploying source " NSLS-II_docs
31 0.77 0.23 "appengine bigquery computeengine containerengine datastore debugger dns endpoints functions language logging monitoring prediction pubsub resource scripts speech storage system-test test trace translate utils vision " ".gitignore CONTRIBUTING.md LICENSE README.md circle.yml key.json.enc package.json " ".gitignore CONTRIBUTING.md LICENSE README.md appengine bigquery circle.yml computeengine containerengine datastore debugger dns endpoints functions key.json.enc language logging monitoring package.json prediction pubsub resource scripts speech storage system-test test trace translate utils vision " GoogleCloudPlatform_nodejs-docs-samples
2 0.00 1.00 "" "new_plan.md performance_schema.md " "new_plan.md performance_schema.md " tidb-cn_docs
8 0.50 0.50 "core deployment distribution schema-generator " "conduct.md index.md philosophy.md troubleshooting.md " "conduct.md core deployment distribution index.md philosophy.md schema-generator troubleshooting.md " api-platform_docs
25 0.12 0.88 "languages plugins skins " "config.md configuration.md contents.md contributing.md controllers.md database.md debug.md formatting.md forms.md framework.md installation.md introduction.md javascript.md localization.md menus.md messages.md models.md roadmap.md security.md session.md upgrading.md urls.md " "config.md configuration.md contents.md contributing.md controllers.md database.md debug.md formatting.md forms.md framework.md installation.md introduction.md javascript.md languages localization.md menus.md messages.md models.md plugins roadmap.md security.md session.md skins upgrading.md urls.md " esotalk_docs
1 0.00 1.00 "" "README.md " "README.md " d5_docs
16 0.56 0.44 "_includes _layouts cna content css fonts img js requester " ".gitignore Gemfile Gemfile.lock README.md _config.yml index.md terms.md " ".gitignore Gemfile Gemfile.lock README.md _config.yml _includes _layouts cna content css fonts img index.md js requester terms.md " CVEProject_docs
73 0.00 1.00 "" ".editorconfig .gitignore about.md apis.md application-testing.md artisan.md authentication.md authorization.md billing.md blade.md broadcasting.md cache.md collections.md configuration.md container.md contracts.md contributing.md contributions.md controllers.md csrf.md database-testing.md database.md documentation.md elixir.md eloquent-collections.md eloquent-mutators.md eloquent-relationships.md eloquent-serialization.md eloquent.md encryption.md envoy.md errors.md events.md facades.md filesystem.md frontend.md hashing.md helpers.md homestead.md installation.md license.md lifecycle.md links.php localization.md mail.md middleware.md migrations.md mocking.md notifications.md packages.md pagination.md passport.md passwords.md providers.md queries.md queues.md readme.md redirects.md redis.md releases.md requests.md responses.md routing.md scheduling.md scout.md seeding.md session.md structure.md testing.md upgrade.md valet.md validation.md views.md " ".editorconfig .gitignore about.md apis.md application-testing.md artisan.md authentication.md authorization.md billing.md blade.md broadcasting.md cache.md collections.md configuration.md container.md contracts.md contributing.md contributions.md controllers.md csrf.md database-testing.md database.md documentation.md elixir.md eloquent-collections.md eloquent-mutators.md eloquent-relationships.md eloquent-serialization.md eloquent.md encryption.md envoy.md errors.md events.md facades.md filesystem.md frontend.md hashing.md helpers.md homestead.md installation.md license.md lifecycle.md links.php localization.md mail.md middleware.md migrations.md mocking.md notifications.md packages.md pagination.md passport.md passwords.md providers.md queries.md queues.md readme.md redirects.md redis.md releases.md requests.md responses.md routing.md scheduling.md scout.md seeding.md session.md structure.md testing.md upgrade.md valet.md validation.md views.md " laravel-china_laravel-docs
23 0.52 0.48 "build_seafile client config deploy deploy_pro deploy_windows develop extension images maintain overview security " ".gitignore README.md SUMMARY.md book.json changelog.md contribution.md cover.jpg cover_small.jpg faq.md overview.md roadmap.md " ".gitignore README.md SUMMARY.md book.json build_seafile changelog.md client config contribution.md cover.jpg cover_small.jpg deploy deploy_pro deploy_windows develop extension faq.md images maintain overview.md overview roadmap.md security " haiwen_seafile-docs-cn
31 0.35 0.65 "blog-posts code-docs geppetto honeydew how-to ignored orchestration performance puppet-doc stdlib type2 " ".gitignore .project README.md about-scope.md arm-9-structured-bindings-yaml.md context-and-scope.md data-in-modules.md diff-bindings-vs-dim.md evaluator4-planning.md evaluator4.md grammar_debugging.md improvements-arm-9.md loaders-exploratory-doc.md mixed-metaphors.md parser_work.md private-data-in-modules.md puppetdoc.md rspec-data_in-modules.md simpler_data_in_modules.md structured-facts-rgen.md " ".gitignore .project README.md about-scope.md arm-9-structured-bindings-yaml.md blog-posts code-docs context-and-scope.md data-in-modules.md diff-bindings-vs-dim.md evaluator4-planning.md evaluator4.md geppetto grammar_debugging.md honeydew how-to ignored improvements-arm-9.md loaders-exploratory-doc.md mixed-metaphors.md orchestration parser_work.md performance private-data-in-modules.md puppet-doc puppetdoc.md rspec-data_in-modules.md simpler_data_in_modules.md stdlib structured-facts-rgen.md type2 " hlindberg_misc-puppet-docs
15 0.40 0.60 "docs examples hrc museum pyExcelerator tools " ".cvsignore CHANGES.txt LICENSE.txt PKG-INFO README.txt THANKS.txt TODO.txt setup.cfg setup.py " ".cvsignore CHANGES.txt LICENSE.txt PKG-INFO README.txt THANKS.txt TODO.txt docs examples hrc museum pyExcelerator setup.cfg setup.py tools " WoLpH_pyExcelerator
5 0.40 0.60 "demo doc " ".gitattributes .gitignore README.md " ".gitattributes .gitignore README.md demo doc " chaping_plupload_docs
10 0.90 0.10 "01 - Core 02 - Web Components 03 - Animations 04 - Layout 05 - Workers 06 - Embedded Queries 07 - Returning State 08 - Types 09 - Reduce State " "README.md " "01 - Core 02 - Web Components 03 - Animations 04 - Layout 05 - Workers 06 - Embedded Queries 07 - Returning State 08 - Types 09 - Reduce State README.md " reactjs_react-future
6 0.00 1.00 "" "annotations.md bus.md docs.md html.md iron-queue.md ssh.md " "annotations.md bus.md docs.md html.md iron-queue.md ssh.md " LaravelCollective_docs
13 0.62 0.38 "docs grunt helpers root scss shared templates workspace " ".gitignore .travis.yml Gruntfile.js README.md package.json " ".gitignore .travis.yml Gruntfile.js README.md docs grunt helpers package.json root scss shared templates workspace " ractivejs_docs
11 0.45 0.55 "Admin Breakouts DataFiles_and_Notebooks Homeworks Lectures " ".gitignore LICENSE README.md nb2to3.py schedule.md workshop_checklist.py " ".gitignore Admin Breakouts DataFiles_and_Notebooks Homeworks LICENSE Lectures README.md nb2to3.py schedule.md workshop_checklist.py " profjsb_python-bootcamp
7 0.14 0.86 "src " ".gitignore .travis.yml Makefile README.md dredd.yml package.json " ".gitignore .travis.yml Makefile README.md dredd.yml package.json src " PerformanceHorizonGroup_apidocs
7 0.14 0.86 "source " ".gitignore AUTHORS.txt LICENSE.txt Makefile TODO.txt make.bat " ".gitignore AUTHORS.txt LICENSE.txt Makefile TODO.txt make.bat source " breakitfixit_UnofficialDocs
17 0.18 0.82 "params resources src " ".gitignore README.md autodoc.org do-build.sh do-contrib.sh do-incanter.sh epl-v10.html html-only.sh is-uptodate.sh new-work-area.sh project.clj run-all.sh run.sh update-last.sh " ".gitignore README.md autodoc.org do-build.sh do-contrib.sh do-incanter.sh epl-v10.html html-only.sh is-uptodate.sh new-work-area.sh params project.clj resources run-all.sh run.sh src update-last.sh " tomfaulhaber_autodoc
13 0.08 0.92 "api " "LICENSE.md android.md html5.md ios.md other.md splunk-ios.md windows8.md windowsphone7.md windowsphone8.md winjs.md xamarinandroid.md xamarinios.md " "LICENSE.md android.md api html5.md ios.md other.md splunk-ios.md windows8.md windowsphone7.md windowsphone8.md winjs.md xamarinandroid.md xamarinios.md " bugsense_docs
6 0.00 1.00 "" "README.md berlin-consensus.md cpan-common.md lancaster-consensus.md lyon-compromise.md oslo-consensus.md " "README.md berlin-consensus.md cpan-common.md lancaster-consensus.md lyon-compromise.md oslo-consensus.md " Perl-Toolchain-Gang_toolchain-site
9 0.44 0.56 "bin example lib template " ".gitignore CHANGELOG.md LICENSE README.md package.json " ".gitignore CHANGELOG.md LICENSE README.md bin example lib package.json template " fabienb4_meteor-jsdoc
16 0.44 0.56 "commands content layouts lib output static tmp " ".DS_Store Gemfile Gemfile.lock LICENSE.md NOTICE README.md Rules config.yaml crash.log " ".DS_Store Gemfile Gemfile.lock LICENSE.md NOTICE README.md Rules commands config.yaml content crash.log layouts lib output static tmp " cloudfoundry-attic_cf-docs-cn
11 0.36 0.64 "content layouts lib static " ".ackrc .gitignore Gemfile Guardfile README.md Rules config.yaml " ".ackrc .gitignore Gemfile Guardfile README.md Rules config.yaml content layouts lib static " appdotnet_api-spec
16 0.19 0.81 ".github server src " ".babelrc .editorconfig .eslintignore .eslintrc .gitignore .sass-lint.yml .travis.yml LICENSE README.md grommet-toolbox.config.js gulpfile.babel.js package.json site-generator.webpack.config.js " ".babelrc .editorconfig .eslintignore .eslintrc .github .gitignore .sass-lint.yml .travis.yml LICENSE README.md grommet-toolbox.config.js gulpfile.babel.js package.json server site-generator.webpack.config.js src " grommet_grommet-docs
30 0.27 0.73 "_cartodb-platform _includes _layouts _sass _tutorials fonts img lib " ".gitignore .travis.yml Gemfile Gemfile.lock Gruntfile.js README.md _cartodb-js.md _config-prod.yml _config.yml _maps-api.md _sql-api.md cartodb-editor.md cartodb-platform.md config.rb docs_build.sh faqs.md favicon.ico index.md package.json s3_website.yml tips-and-tricks.md tutorials.md " ".gitignore .travis.yml Gemfile Gemfile.lock Gruntfile.js README.md _cartodb-js.md _cartodb-platform _config-prod.yml _config.yml _includes _layouts _maps-api.md _sass _sql-api.md _tutorials cartodb-editor.md cartodb-platform.md config.rb docs_build.sh faqs.md favicon.ico fonts img index.md lib package.json s3_website.yml tips-and-tricks.md tutorials.md " kathypennacchio_docs
7 0.29 0.71 "js text " ".gitignore .gitmodules README.md index.html style.css " ".gitignore .gitmodules README.md index.html js style.css text " haldean_docstore
