all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
58.00 0.14 0.86 0.60 0.40 391.43 0.06 3.00 0.00 0.03 senegalouvert_data
8.00 0.25 0.75 0.38 0.62 9.16 2.99 3.00 0.00 1.00 liberland_data
902.00 0.08 0.92 0.29 0.71 33.73 0.71 76.00 0.00 0.20 project-open-data_project-open-data
3.00 0.00 1.00 0.00 1.00 0.52 3.00 2.00 0.00 1.00 ageitgey_all-podcasts-dataset
391.00 0.17 0.83 0.18 0.82 92.47 0.26 5.00 0.00 0.21 nomisma_data
156.00 0.53 0.47 0.53 0.47 161.93 0.15 8.00 0.00 0.05 jokecamp_FootballData
468.00 0.20 0.80 0.99 0.01 33.36 0.72 3.00 0.00 0.70 eliangcs_pystock-data
15.00 0.07 0.93 0.93 0.07 1522.55 0.02 2.00 0.00 0.01 twigkit_worldfactbook-dataset
106.00 0.25 0.75 0.45 0.55 33.69 0.72 4.00 0.00 0.41 appscode_data
27.00 0.59 0.41 0.26 0.74 54.51 0.46 3.00 0.00 0.20 openimages_dataset
87.00 0.07 0.93 0.75 0.25 13.66 1.78 3.00 0.00 0.27 WebPlatformTest_Data
2.00 0.00 1.00 0.00 1.00 0.09 2.00 2.00 0.00 1.00 SCST-CS510-Fall2015_datasets
1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 linanqiu_reddit-dataset
623.00 0.19 0.81 0.40 0.60 39.01 0.62 32.00 0.00 0.17 fivethirtyeight_data
166.00 0.04 0.96 0.92 0.08 81.30 0.30 11.00 0.00 0.10 rosejn_torch-datasets
57.00 0.12 0.88 0.28 0.72 65.16 0.37 2.00 0.00 0.08 massvis_dataset
12.00 0.00 1.00 0.00 1.00 0.04 12.00 1.00 0.00 1.00 open-peaks_data
5.00 0.00 1.00 0.00 1.00 40.84 0.73 1.00 0.00 0.29 redlego_data
17.00 0.12 0.88 0.35 0.65 727.50 0.04 1.00 0.00 0.01 ericmjonas_circuitdata
9.00 0.00 1.00 0.44 0.56 59.63 0.45 1.00 0.00 0.20 quankiquanki_skytrax-reviews-dataset
169.00 0.12 0.88 0.44 0.56 74.10 0.33 19.00 0.00 0.14 plotly_datasets
13.00 0.15 0.85 0.08 0.92 627.08 0.04 2.00 0.00 0.01 DCCouncil_data
64.00 0.11 0.89 0.30 0.70 306.78 0.08 10.00 0.00 0.03 GSA_data
154.00 0.18 0.82 0.43 0.57 80.85 0.30 6.00 0.00 0.07 ImagingInformatics_hackathon-dataset
847.00 0.02 0.98 0.39 0.61 15.53 1.55 2.00 0.00 0.66 washingtonpost_data-police-shootings
24.00 0.00 1.00 0.42 0.58 194.04 0.13 1.00 0.00 0.03 suriyadeepan_datasets
40.00 0.42 0.57 0.30 0.70 461.67 0.05 3.00 0.00 0.01 ansymo_msr2013-bug_dataset
168.00 0.10 0.90 0.73 0.27 167.83 0.14 13.00 0.00 0.06 unicode-table_unicode-table-data
3.00 0.33 0.67 0.67 0.33 42.74 0.84 2.00 0.00 0.50 blacklotusproject_data
138.00 0.07 0.93 0.65 0.35 109.48 0.22 10.00 0.00 0.08 AidData-WM_public_datasets
3.00 0.00 1.00 1.00 0.00 1379.56 0.03 1.00 0.00 0.03 Jakobovski_free-spoken-digit-dataset
8.00 1.00 0.00 1.00 0.00 0.04 8.00 1.00 0.00 1.00 stopfrisknyc_data
199.00 0.12 0.88 0.30 0.70 131.68 0.18 3.00 0.00 0.07 curran_data
15.00 0.07 0.93 0.27 0.73 1395.54 0.02 5.00 0.00 0.01 stedy_Machine-Learning-with-R-datasets
27.00 0.04 0.96 0.30 0.70 77.59 0.32 6.00 0.00 0.18 hmcRobotLab_data
251.00 0.29 0.71 0.45 0.55 63.60 0.38 6.00 0.00 0.14 GameSaveInfo_Data
1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 nlpwp_data
236.00 0.06 0.94 0.52 0.48 46.60 0.52 7.00 0.00 0.08 openstate_datasets
2.00 0.00 1.00 0.00 1.00 1519.32 0.03 1.00 0.00 0.03 cs109_cs109_data
38.00 0.00 1.00 0.82 0.18 608.14 0.04 7.00 0.00 0.02 MAECProject_datasets
6.00 0.00 1.00 1.00 0.00 0.22 6.00 1.00 0.00 1.00 guyz_twitter-sentiment-dataset
8.00 0.00 1.00 0.75 0.25 119.33 0.23 2.00 0.00 0.11 amaboura_panama-papers-dataset-2016
12.00 0.83 0.17 0.42 0.58 257.89 0.10 2.00 0.00 0.03 chrisalbon_war_of_the_five_kings_dataset
140.00 0.36 0.64 0.66 0.34 480.25 0.05 10.00 0.00 0.02 phpmyadmin_data
158.00 0.23 0.77 0.73 0.27 43.24 0.56 4.00 0.00 0.08 Fixxup_data
153.00 0.18 0.82 0.58 0.42 28.18 0.86 3.00 0.00 0.22 trendct_data
3379.00 0.10 0.90 0.47 0.53 8.67 2.77 22.00 0.00 0.28 nationalparkservice_data
616.00 0.03 0.97 0.45 0.55 52.63 0.46 27.00 0.00 0.19 uWaterloo_Datasets
204.00 0.08 0.92 0.57 0.43 153.67 0.16 22.00 0.00 0.05 OpenBookPrices_country-data
6.00 0.17 0.83 0.33 0.67 1994.68 0.01 2.00 0.00 0.01 brandonwamboldt_data
139.00 0.27 0.73 0.65 0.35 123.27 0.20 31.00 0.00 0.08 binlist_data
6.00 0.00 1.00 0.33 0.67 1610.88 0.02 3.00 0.00 0.01 gtoderici_sports-1m-dataset
212.00 0.25 0.75 0.35 0.65 52.33 0.46 63.00 0.00 0.11 jdorfman_awesome-json-datasets
18.00 0.06 0.94 0.72 0.28 224.58 0.11 1.00 0.00 0.04 hadley_data-baby-names
1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 Hirato_data
8.00 0.00 1.00 0.50 0.50 73.14 0.38 2.00 0.00 0.09 colombia-dev_data
9.00 0.00 1.00 0.89 0.11 936.14 0.03 3.00 0.00 0.02 gyglim_video2gif_dataset
69.00 0.06 0.94 0.43 0.57 47.09 0.52 5.00 0.00 0.27 MyanmarAPI_dataset
208.00 0.00 1.00 0.97 0.03 24.66 0.98 1.00 0.00 0.18 ali-ce_datasets
75.00 0.24 0.76 0.96 0.04 327.62 0.07 1.00 0.00 0.01 ucd-spatial_Datasets
615.00 0.32 0.68 0.35 0.65 143.18 0.17 19.00 0.00 0.10 opentibia-xx_data
4.00 0.00 1.00 0.50 0.50 1820.76 0.02 2.00 0.00 0.02 Snarl_Data
20.00 0.00 1.00 1.00 0.00 148.91 0.17 2.00 0.00 0.05 DIVERSIFY-project_data
13.00 0.00 1.00 0.38 0.62 493.75 0.05 4.00 0.00 0.03 karthikncode_nlp-datasets
8.00 0.00 1.00 0.38 0.62 334.18 0.08 1.00 0.00 0.07 cs109_2014_data
7.00 0.00 1.00 0.14 0.86 2518.94 0.01 2.00 0.00 0.01 kaizhang_dataset
2838.00 0.32 0.68 0.51 0.49 37.59 0.64 104.00 0.00 0.30 themanaworld_tmwa-client-data
48.00 0.19 0.81 0.44 0.56 210.76 0.12 3.00 0.00 0.06 harvardsports_data
510.00 0.20 0.80 0.23 0.77 11.34 2.12 25.00 0.00 0.32 pytube_data
29.00 0.00 1.00 0.76 0.24 433.03 0.06 4.00 0.00 0.03 edinburghcouncil_datasets
5.00 0.00 1.00 0.40 0.60 405.74 0.07 3.00 0.00 0.04 datanesia_government-dataset
303.00 0.30 0.70 0.12 0.88 18.89 1.27 2.00 0.00 0.34 VoiDGlitch_WarframeData
1095.00 0.26 0.74 0.08 0.92 24.60 0.98 15.00 0.00 0.88 offensive-security_exploit-database
13.00 0.00 1.00 0.62 0.38 1144.33 0.02 5.00 0.00 0.01 opesci_data
3465.00 0.32 0.68 0.47 0.53 29.14 0.82 102.00 0.00 0.31 themanaworld_tmwa-server-data
32.00 0.16 0.84 0.28 0.72 500.12 0.05 1.00 0.00 0.03 chikoski_data
9.00 0.00 1.00 1.00 0.00 306.68 0.09 3.00 0.00 0.05 doselect_data
27.00 0.44 0.56 0.56 0.44 44.69 0.56 1.00 0.00 0.14 isitchristmas_data
6.00 0.17 0.83 0.33 0.67 61.28 0.47 1.00 0.00 0.46 UCSCNanopore_Data
14.00 0.43 0.57 0.07 0.93 209.70 0.12 2.00 0.00 0.04 notpeter_crunchbase-data
68.00 0.57 0.43 0.54 0.46 98.53 0.25 2.00 0.00 0.05 datamachines_data
794.00 0.30 0.70 0.29 0.71 11.10 2.16 43.00 0.00 0.39 pyvideo_data
69.00 0.25 0.75 0.49 0.51 76.47 0.32 2.00 0.00 0.09 aptnotes_data
22.00 0.05 0.95 0.00 1.00 160.89 0.16 1.00 0.00 0.04 ymcui_Chinese-RC-Dataset
30.00 0.23 0.77 0.40 0.60 173.58 0.14 4.00 0.00 0.07 datasciencelabs_data
18.00 0.06 0.94 0.17 0.83 1196.53 0.02 1.00 0.00 0.01 mikeizbicki_datasets
7.00 0.29 0.71 0.14 0.86 22.86 1.23 3.00 0.00 1.00 asa-datathon_data
1575.00 0.27 0.73 0.47 0.53 5.29 4.54 3.00 0.00 0.78 animus-project_threat_data
25.00 0.84 0.16 0.32 0.68 470.72 0.05 1.00 0.00 0.01 datasciencemasters_data
17.00 0.00 1.00 0.12 0.88 225.26 0.11 5.00 0.00 0.03 udacity_data-analyst
14.00 0.43 0.57 0.93 0.07 236.56 0.11 4.00 0.00 0.04 aimacode_aima-data
32.00 0.16 0.84 0.47 0.53 1500.43 0.02 6.00 0.00 0.01 clojure_data
10.00 0.00 1.00 0.70 0.30 553.63 0.05 2.00 0.00 0.02 EmergencyNumberAPI_data
150.00 0.14 0.86 0.41 0.59 27.45 0.88 62.00 0.00 0.18 gophertown_gophertown-data
27.00 0.26 0.74 0.07 0.93 403.39 0.06 5.00 0.00 0.04 andrewvc_ee-datasets
61.00 0.18 0.82 0.51 0.49 626.26 0.04 5.00 0.00 0.02 vincentarelbundock_Rdatasets
21.00 0.24 0.76 0.67 0.33 169.58 0.15 3.00 0.00 0.08 pyp22_datasets
207.00 0.25 0.75 0.39 0.61 18.37 1.31 6.00 0.00 0.22 WashDems-Public_Data
65.00 0.95 0.05 0.00 1.00 152.30 0.16 1.00 0.00 0.01 ongithub_data
5.00 0.20 0.80 0.80 0.20 3904.88 0.01 2.00 0.00 0.01 dgadiraju_data
21.00 0.00 1.00 0.24 0.76 349.04 0.07 4.00 0.00 0.03 Upward-Spiral-Science_data
170.00 0.21 0.79 0.61 0.39 78.85 0.31 5.00 0.00 0.07 TaxFoundation_data
1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 renatopp_arff-datasets
45.00 0.51 0.49 0.18 0.82 116.77 0.21 6.00 0.00 0.07 CityofReno_Data
26.00 0.04 0.96 0.88 0.12 176.77 0.14 9.00 0.00 0.05 deepmind_rc-data
117.00 0.30 0.70 0.04 0.96 155.33 0.16 4.00 0.00 0.02 the-frack-lab_data
53.00 0.43 0.57 0.51 0.49 367.06 0.07 3.00 0.00 0.04 geezorg_data
11.00 0.00 1.00 0.82 0.18 2.29 11.00 2.00 0.00 1.00 fivethirtyeight_guns-data
58.00 0.10 0.90 0.17 0.83 312.91 0.08 2.00 0.00 0.04 hopelessoptimism_datasets
454.00 0.21 0.79 0.49 0.51 40.26 0.60 139.00 0.00 0.24 caesar0301_awesome-public-datasets
19.00 0.26 0.74 0.79 0.21 216.30 0.12 6.00 0.00 0.06 geneura-papers_data
398.00 0.18 0.82 0.23 0.77 77.26 0.31 10.00 0.00 0.05 iamcal_emoji-data
1091.00 0.35 0.65 0.43 0.57 60.92 0.39 26.00 0.00 0.14 inexor-game_data
14.00 0.57 0.43 0.07 0.93 501.65 0.05 3.00 0.00 0.02 CodeForPortland_data
1389.00 0.03 0.97 0.19 0.81 9.15 2.63 21.00 0.00 0.48 whosonfirst-data_whosonfirst-data
16.00 0.25 0.75 0.00 1.00 150.67 0.17 3.00 0.00 0.13 HackathonHackers_data
78.00 0.05 0.95 0.69 0.31 95.37 0.25 2.00 0.00 0.09 brmson_dataset-factoid-webquestions
19.00 0.00 1.00 0.84 0.16 1497.39 0.02 3.00 0.00 0.01 sfstoolbox_data
105.00 0.09 0.91 0.49 0.51 136.05 0.18 11.00 0.00 0.09 GoogleTrends_data
41.00 0.10 0.90 0.29 0.71 152.36 0.16 3.00 0.00 0.06 radioML_dataset
26.00 0.15 0.85 0.12 0.88 4.12 6.06 4.00 0.00 1.00 ccc-digital-channels_datasets
115.00 0.00 1.00 0.57 0.43 90.99 0.27 9.00 0.00 0.08 voxmedia_data-projects
3.00 0.00 1.00 1.00 0.00 0.18 3.00 2.00 0.00 1.00 jperla_sentiment-data
5.00 0.00 1.00 0.80 0.20 4229.51 0.01 2.00 0.00 0.00 oreillymedia_doing_data_science
16.00 0.00 1.00 0.44 0.56 723.62 0.04 1.00 0.00 0.02 joshbegley_data
