all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
175.00 0.17 0.83 0.63 0.37 49.71 0.49 26.00 0.00 0.16 laravel-doctrine_docs
726.00 0.21 0.79 0.50 0.50 35.83 0.67 54.00 0.00 0.27 bezumkin_Docs
238.00 0.08 0.92 0.76 0.24 107.03 0.23 21.00 0.00 0.13 spring-projects_spring-data-examples
133.00 0.05 0.95 0.85 0.15 95.24 0.25 12.00 0.00 0.09 backbee_docs
309.00 0.08 0.92 0.77 0.23 65.35 0.37 7.00 0.00 0.10 isotope_docs
136.00 0.10 0.90 0.62 0.38 7.60 3.18 15.00 0.00 0.47 devfreebooks_devfreebooks
410.00 0.07 0.93 0.56 0.44 18.44 1.31 33.00 0.00 0.41 statamic_docs
182.00 0.04 0.96 0.80 0.20 92.39 0.26 34.00 0.00 0.10 uphold_docs
5369.00 0.03 0.97 0.39 0.61 3.47 6.91 135.00 0.00 0.75 pantheon-systems_documentation
200.00 0.17 0.82 0.37 0.63 76.88 0.31 5.00 0.00 0.06 domino-team_docs
173.00 0.27 0.73 0.36 0.64 83.51 0.29 8.00 0.00 0.08 ssbc_docs
538.00 0.05 0.95 0.80 0.20 82.46 0.29 25.00 0.00 0.14 scala-ide_docs
603.00 0.17 0.83 0.28 0.72 50.71 0.47 16.00 0.00 0.08 eucalyptus_architecture
2243.00 0.37 0.63 0.53 0.47 16.43 1.46 150.00 0.00 0.32 unbit_uwsgi-docs
118.00 0.22 0.78 0.62 0.38 99.09 0.24 9.00 0.00 0.07 videojs_docs
66.00 0.30 0.70 0.65 0.35 367.82 0.07 1.00 0.00 0.05 drunkard_ceph-readable-doc
249.00 0.00 1.00 0.97 0.03 97.66 0.25 10.00 0.00 0.05 UDOOboard_Docs
2326.00 0.27 0.73 0.58 0.42 22.56 1.06 198.00 0.00 0.35 fuel_docs
167.00 0.05 0.95 0.81 0.19 32.36 0.75 3.00 0.00 0.13 unifiedremote_Docs
82.00 0.50 0.50 0.28 0.72 28.94 0.84 6.00 0.00 0.26 FXDocs_docs
21.00 0.00 1.00 0.43 0.57 81.68 0.31 8.00 0.00 0.16 Kinect_Docs
40.00 0.17 0.82 0.53 0.47 111.02 0.22 1.00 0.00 0.09 mpusher_docs
100.00 0.05 0.95 0.85 0.15 148.36 0.16 12.00 0.00 0.05 newsnerdery_docs
274.00 0.09 0.91 0.83 0.17 83.13 0.29 11.00 0.00 0.07 moltin_docs
117.00 0.21 0.79 0.44 0.56 251.26 0.10 15.00 0.00 0.04 croogo_docs
213.00 0.19 0.81 0.41 0.59 203.18 0.12 8.00 0.00 0.03 es5_es5
281.00 0.10 0.90 0.73 0.27 34.21 0.70 21.00 0.00 0.27 conan-io_docs
747.00 0.03 0.97 0.86 0.14 29.01 0.83 38.00 0.00 0.20 Qabel_qabel
1795.00 0.10 0.90 0.31 0.69 16.80 1.43 230.00 0.00 0.47 coreos_docs
801.00 0.30 0.70 0.27 0.73 32.34 0.74 62.00 0.00 0.34 octobercms_docs
112.00 0.04 0.96 0.24 0.76 189.78 0.13 6.00 0.00 0.08 slackhq_slack-api-docs
38.00 0.34 0.66 0.63 0.37 5.73 4.30 4.00 0.00 0.78 liubin_docs
1026.00 0.32 0.68 0.65 0.35 31.57 0.76 18.00 0.00 0.22 dita-ot_docs
40.00 0.17 0.82 0.42 0.57 296.81 0.08 13.00 0.00 0.05 oxyplot_docs
451.00 0.11 0.89 0.25 0.75 90.73 0.27 42.00 0.00 0.06 nodejitsu_docs
2717.00 0.14 0.86 0.62 0.38 28.50 0.84 67.00 0.00 0.25 mapserver_docs
155.00 0.17 0.83 0.38 0.62 62.19 0.39 2.00 0.00 0.10 xindong_docs
321.00 0.02 0.98 0.24 0.76 43.88 0.55 12.00 0.00 0.23 project-geode_docs
806.00 0.03 0.97 0.54 0.46 14.60 1.65 50.00 0.00 0.42 RackHD_docs
85.00 0.53 0.47 0.32 0.68 65.43 0.37 16.00 0.00 0.14 DiscordAPI_docs
129.00 0.07 0.93 0.29 0.71 161.69 0.15 41.00 0.00 0.07 Khan_style-guides
696.00 0.26 0.74 0.37 0.63 33.84 0.71 73.00 0.00 0.32 gogits_docs
2105.00 0.13 0.87 0.29 0.71 20.28 1.18 78.00 0.00 0.28 iron-io_docs
101.00 0.32 0.68 0.37 0.63 191.28 0.13 8.00 0.00 0.08 go-macaron_docs
37.00 0.00 1.00 0.43 0.57 567.90 0.04 12.00 0.00 0.02 open-power_docs
1491.00 0.01 0.99 0.38 0.62 19.71 1.22 44.00 0.00 0.30 exosite_docs
3004.00 0.15 0.85 0.35 0.65 3.20 7.49 65.00 0.00 0.76 mattermost_docs
293.00 0.16 0.84 0.33 0.67 56.67 0.42 15.00 0.00 0.22 OxideMod_Docs
272.00 0.45 0.55 0.43 0.57 33.16 0.73 53.00 0.00 0.22 intermezzOS_book
888.00 0.17 0.83 0.56 0.44 34.22 0.70 87.00 0.00 0.17 cfgmgmtcamp_cfgmgmtcamp
1121.00 0.02 0.98 0.91 0.09 27.27 0.88 13.00 0.00 0.33 webix-hub_docs
153.00 0.05 0.95 0.35 0.65 82.76 0.29 18.00 0.00 0.14 vinli_docs
340.00 0.14 0.86 0.53 0.47 40.69 0.59 27.00 0.00 0.21 EasyWeChat_docs
569.00 0.06 0.94 0.28 0.72 33.38 0.72 40.00 0.00 0.27 upyun_docs
136.00 0.19 0.81 0.52 0.48 254.87 0.09 24.00 0.00 0.04 webpack_docs
604.00 0.02 0.98 0.49 0.51 36.54 0.66 26.00 0.00 0.18 INN_docs
1324.00 0.44 0.56 0.24 0.76 34.78 0.69 188.00 0.00 0.27 railsbridge_docs
24.00 0.00 1.00 0.00 1.00 29.01 0.86 2.00 0.00 0.21 fudanchii_docs
12823.00 0.24 0.76 0.45 0.55 4.06 5.91 748.00 0.00 0.84 cakephp_docs
4698.00 0.30 0.70 0.37 0.63 10.72 2.24 215.00 0.00 0.50 hyperboria_docs
319.00 0.05 0.95 0.24 0.76 35.32 0.68 28.00 0.00 0.23 DataTorrent_docs
1079.00 0.15 0.85 0.62 0.38 17.42 1.38 108.00 0.00 0.47 prometheus_docs
10793.00 0.04 0.96 0.45 0.55 4.26 5.64 409.00 0.00 0.74 mongodb_docs
522.00 0.47 0.53 0.76 0.24 32.00 0.75 9.00 0.00 0.21 donnemartin_data-science-ipython-notebooks
357.00 0.18 0.82 0.42 0.58 32.74 0.73 28.00 0.00 0.20 roots_docs
90.00 0.68 0.32 0.31 0.69 4.40 5.51 7.00 0.00 0.71 davehorton_docs
650.00 0.09 0.91 0.30 0.70 31.72 0.76 104.00 0.00 0.22 npm_docs
175.00 0.29 0.71 0.57 0.43 167.00 0.14 26.00 0.00 0.06 rocketeers_docs
54.00 0.09 0.91 0.37 0.63 618.02 0.04 6.00 0.00 0.02 sproutcore_docs
808.00 0.17 0.83 0.39 0.61 19.65 1.22 45.00 0.00 0.33 documentationjs_documentation
5497.00 0.27 0.73 0.52 0.48 7.29 3.29 195.00 0.00 0.49 perl6_doc
3215.00 0.12 0.88 0.34 0.66 8.78 2.73 166.00 0.00 0.54 spark_docs
518.00 0.24 0.76 0.52 0.48 27.20 0.88 99.00 0.00 0.34 syncthing_docs
367.00 0.19 0.81 0.51 0.49 67.88 0.35 18.00 0.00 0.12 forge_docs
117.00 0.27 0.73 0.68 0.32 91.97 0.26 1.00 0.00 0.11 openchain_docs
455.00 0.16 0.84 0.26 0.74 16.97 1.42 37.00 0.00 0.39 urbit_docs
15639.00 0.17 0.83 0.54 0.46 4.81 4.99 237.00 0.00 0.43 dojo_docs
1581.00 0.20 0.80 0.65 0.35 25.74 0.93 50.00 0.00 0.23 contao_docs
131.00 0.24 0.76 0.62 0.38 37.31 0.65 11.00 0.00 0.16 red_docs
359.00 0.02 0.98 0.40 0.60 8.97 2.68 28.00 0.00 0.46 fastlane_docs
144.00 0.01 0.99 0.35 0.65 30.57 0.79 6.00 0.00 0.14 Microsoft_Docs
1108.00 0.02 0.98 0.79 0.21 15.80 1.52 46.00 0.00 0.34 wercker_docs
200.00 0.08 0.92 0.39 0.61 181.98 0.13 19.00 0.00 0.03 deployd_docs
