all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
891.00 0.31 0.69 0.47 0.53 45.56 0.53 167.00 0.00 0.21 railsgirls_railsgirls
944.00 0.16 0.84 0.36 0.64 30.18 0.80 15.00 0.00 0.19 infochimps-labs_big_data_for_chimps
57.00 0.12 0.88 0.35 0.65 474.02 0.05 8.00 0.00 0.02 chaconnewu_free-data-science-books
28.00 0.11 0.89 0.54 0.46 21.13 1.18 2.00 0.00 0.46 benjamin-chan_GettingAndCleaningData
186.00 0.02 0.98 0.56 0.44 21.66 1.11 7.00 0.00 0.40 epfml_ML_course
36.00 0.50 0.50 0.25 0.75 343.23 0.07 3.00 0.00 0.03 BinRoot_Haskell-Data-Analysis-Cookbook
246.00 0.37 0.63 0.50 0.50 86.05 0.28 46.00 0.00 0.13 bulutyazilim_awesome-datascience
68.00 0.12 0.88 0.59 0.41 67.56 0.36 3.00 0.00 0.14 mikeckennedy_python-jumpstart-course-demos
12.00 0.42 0.58 0.42 0.58 41.68 0.63 1.00 0.00 0.25 herrfz_dataanalysis
360.00 0.13 0.87 0.28 0.72 98.36 0.24 27.00 0.00 0.02 profjsb_python-bootcamp
47.00 0.28 0.72 0.51 0.49 93.70 0.26 9.00 0.00 0.10 open-source-society_data-science
48.00 0.77 0.23 0.40 0.60 48.16 0.51 4.00 0.00 0.12 PENGZhaoqing_CourseSelect
299.00 0.02 0.98 0.77 0.23 34.21 0.70 13.00 0.00 0.11 TelerikAcademy_Databases
20.00 0.00 1.00 0.35 0.65 1282.95 0.02 3.00 0.00 0.01 jdavis_latex-homework-template
3.00 0.67 0.33 0.33 0.67 198.12 0.18 1.00 0.00 0.12 rdpeng_ExData_Plotting1
51.00 0.12 0.88 0.14 0.86 232.32 0.11 8.00 0.00 0.05 berkeley-cs186_course-sp15
75.00 0.09 0.91 0.43 0.57 179.29 0.14 4.00 0.00 0.03 jonathan-bower_DataScienceResources
42.00 0.12 0.88 0.43 0.57 161.10 0.15 2.00 0.00 0.04 DataScienceToolbox_data-science-toolbox
115.00 0.13 0.87 0.11 0.89 90.35 0.27 2.00 0.00 0.13 gboeing_urban-data-science
119.00 0.22 0.78 0.32 0.68 141.30 0.17 4.00 0.00 0.07 aloctavodia_Doing_bayesian_data_analysis
24.00 0.00 1.00 0.96 0.04 86.83 0.29 2.00 0.00 0.19 AllenDowney_DataScience
21.00 0.00 1.00 0.05 0.95 404.62 0.06 1.00 0.00 0.01 byorgey_haskell-course
33.00 0.15 0.85 0.82 0.18 395.48 0.06 2.00 0.00 0.02 jdleesmiller_latex-course
63.00 0.46 0.54 0.16 0.84 143.46 0.17 17.00 0.00 0.06 lyzidiamond_learn-geojson
107.00 0.07 0.93 0.50 0.50 25.81 0.94 1.00 0.00 0.32 CSC-510_Course
60.00 0.18 0.82 0.40 0.60 140.02 0.17 11.00 0.00 0.07 sux13_DataScienceSpCourseNotes
198.00 0.09 0.91 0.38 0.62 18.74 1.29 3.00 0.00 0.20 dataiap_dataiap
