all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
30.00 0.00 1.00 0.10 0.90 85.91 0.29 1.00 0.00 0.15 WSU-323-Spring2015_Course
237.00 0.23 0.77 0.19 0.81 3.24 7.44 30.00 0.00 0.78 ga-students_bewd_10_nyc_homework
193.00 0.36 0.64 0.58 0.42 74.98 0.32 3.00 0.00 0.14 dvirazulay_homework
1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 rhyndo_webdesign-course
16.00 0.00 1.00 0.50 0.50 317.07 0.08 2.00 0.00 0.04 vitaly-chibrikov_homework_tester
4.00 0.50 0.50 0.25 0.75 2541.66 0.01 2.00 0.00 0.01 webdesigndecal_homework
559.00 0.09 0.91 0.28 0.72 2.15 11.18 26.00 0.00 0.69 sf-wdi-22-23_23-homework
42.00 0.07 0.93 0.36 0.64 69.66 0.35 1.00 0.00 0.10 beta_homework
258.00 0.09 0.91 0.17 0.83 5.22 4.61 26.00 0.00 0.77 ga-students_bewd_11_nyc_homework
54.00 0.24 0.76 0.54 0.46 12.01 2.04 12.00 0.00 0.67 jelementary-finches_homework
13.00 0.54 0.46 0.77 0.23 15.77 1.65 2.00 0.00 0.38 redfern314_olinjs-5-hw
6.00 0.00 1.00 0.17 0.83 201.92 0.14 1.00 0.00 0.05 pcantrell_comp225-registrar
16.00 0.00 1.00 1.00 0.00 1.47 16.00 1.00 0.00 1.00 zhaqiang_homework
79.00 0.23 0.77 0.44 0.56 30.72 0.79 10.00 0.00 0.27 kirbs-_edX-Learning-From-Data-Solutions
7.00 0.00 1.00 0.29 0.71 54.13 0.52 3.00 0.00 0.36 Nataliya-Linchevska_Homework
397.00 0.20 0.80 0.43 0.57 14.76 1.63 40.00 0.00 0.32 51reboot_actual_07_homework
39.00 0.13 0.87 0.21 0.79 64.36 0.38 3.00 0.00 0.19 cis198-2016f_homework
210.00 0.06 0.94 0.39 0.61 3.76 6.41 16.00 0.00 0.55 SwiftOldDriver_SwiftHomework
5.00 0.80 0.20 0.80 0.20 23.57 1.27 1.00 0.00 0.50 Bogazici-CMPE548-Spring2016_Cmpe548-Assignment1
64.00 0.03 0.97 0.86 0.14 166.81 0.15 5.00 0.00 0.10 goit-fe_markup_fe2o
53.00 0.81 0.19 0.72 0.28 235.37 0.10 1.00 0.00 0.01 rilian_saas-homework
2.00 0.00 1.00 0.50 0.50 13.66 2.00 1.00 0.00 1.00 tiyd-python-2015-05_palindrome
101.00 0.07 0.93 0.83 0.17 108.98 0.22 11.00 0.00 0.10 ddtm_dl-course
2.00 0.00 1.00 0.50 0.50 39.36 1.22 1.00 0.00 1.00 boothappdev_week_2_homework
2.00 0.00 1.00 1.00 0.00 1.33 2.00 1.00 0.00 1.00 CSCI391_homework3
1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 iosdecal_ios-decal-hw1
505.00 0.06 0.94 0.06 0.94 2.81 8.56 36.00 0.00 0.75 ga-students_bewd_sf_8_homework
284.00 0.28 0.72 0.28 0.72 3.38 7.12 32.00 0.00 0.70 YelimarRodriguez_BEWD_NYC_5_Homework
97.00 0.15 0.85 0.49 0.51 726.25 0.03 3.00 0.00 0.01 ELLIOTTCABLE_Homework
6.00 0.00 1.00 0.33 0.67 0.79 6.00 2.00 0.00 1.00 zhoujianer_TCP-homework
2.00 0.00 1.00 0.00 1.00 0.10 2.00 1.00 0.00 1.00 web-programming-2016s_2
65.00 0.20 0.80 0.83 0.17 133.37 0.18 3.00 0.00 0.07 bcaffo_Caffo-Coursera
8.00 0.00 1.00 0.88 0.12 3.85 7.13 1.00 0.00 1.00 dsgn425-s15_week_1_homework
7.00 0.00 1.00 0.14 0.86 1217.99 0.02 5.00 0.00 0.02 makersquare_ruby-course
51.00 0.24 0.76 0.53 0.47 18.03 1.36 8.00 0.00 0.34 fatroom_cs373
21.00 0.00 1.00 0.62 0.38 217.99 0.12 4.00 0.00 0.04 boothappdev-s15_homework_fortune_teller
184.00 0.10 0.90 0.19 0.81 4.72 5.12 29.00 0.00 0.44 ga-students_BEWD_NYC_9_Homework
24.00 0.00 1.00 0.58 0.42 142.91 0.18 4.00 0.00 0.13 codeschool_EmberCourseDemo
19.00 0.21 0.79 0.68 0.32 38.28 0.66 1.00 0.00 0.48 wangqiaoxi2016_homework
20.00 0.00 1.00 0.95 0.05 106.14 0.24 1.00 0.00 0.11 Sta323-Sp16_Homework
4.00 0.00 1.00 1.00 0.00 0.06 4.00 2.00 0.00 1.00 kiei925-winter14_week3-homework
2.00 0.00 1.00 0.50 0.50 152.44 0.31 1.00 0.00 0.29 tdyer_ga-git-hw
15.00 0.07 0.93 0.53 0.47 136.86 0.19 2.00 0.00 0.12 harvard-cs205_cs205-homework
15.00 0.47 0.53 0.00 1.00 25.71 1.00 1.00 0.00 0.27 RSenApps_homeworktracker
96.00 0.09 0.91 0.40 0.60 35.18 0.69 5.00 0.00 0.23 Pinafore_ds-hw
272.00 0.21 0.79 0.14 0.86 4.33 5.56 49.00 0.00 0.80 miis-l10n_website-l10n_homework
24.00 0.50 0.50 0.46 0.54 355.71 0.07 2.00 0.00 0.04 danielkaradachki_HomeWork
133.00 0.08 0.92 0.50 0.50 105.46 0.23 10.00 0.00 0.14 turingschool_homework
13.00 0.15 0.85 0.23 0.77 662.20 0.04 4.00 0.00 0.02 MINDBODY-FEE_homework
11.00 0.09 0.91 0.18 0.82 2133.05 0.01 3.00 0.00 0.01 samardzicnenad_Coursera
5.00 0.00 1.00 0.00 1.00 95.66 0.31 1.00 0.00 0.12 wesreisz_cis411-77_homework
93.00 0.15 0.85 0.59 0.41 306.93 0.08 17.00 0.00 0.05 fmi_go-homework
46.00 0.00 1.00 0.39 0.61 15.93 1.54 8.00 0.00 0.33 cuny-ml-f2014_homework1
1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 boothappdev_homework_essential_ruby
38.00 0.00 1.00 0.53 0.47 0.57 38.00 13.00 0.00 1.00 CNfx_homeworkMay
14.00 0.00 1.00 0.14 0.86 0.44 14.00 1.00 0.00 1.00 rails-decal_sp15-hw3
13.00 0.38 0.62 0.46 0.54 84.00 0.31 2.00 0.00 0.26 ssercpp12_Homework
8.00 0.75 0.25 0.62 0.38 31.96 0.86 1.00 0.00 0.50 OlegVolkov2016_HomeWork
6.00 0.00 1.00 0.50 0.50 46.02 0.63 1.00 0.00 0.30 yeukhon_homework
762.00 0.06 0.94 0.13 0.87 2.28 10.54 43.00 0.00 0.86 ga-students_bewd_sf_10_homework
116.00 0.13 0.87 0.25 0.75 218.63 0.11 5.00 0.00 0.05 pcsforeducation_Homework
4.00 0.00 1.00 0.25 0.75 1688.62 0.02 2.00 0.00 0.01 iosdecal_ios-decal-hw4
2.00 0.00 1.00 0.00 1.00 0.13 2.00 1.00 0.00 1.00 FEWD80_test-homework-assignment
4.00 1.00 0.00 1.00 0.00 0.36 4.00 2.00 0.00 1.00 seclab_homework
3.00 0.00 1.00 0.00 1.00 0.53 3.00 1.00 0.00 1.00 boothappdev-s15_week_2_homework
22.00 0.50 0.50 0.86 0.14 98.69 0.25 2.00 0.00 0.16 Bvaptsarov_Homework
60.00 0.07 0.93 0.70 0.30 69.67 0.35 1.00 0.00 0.21 TatkaRedchits_HomeWork
7.00 0.00 1.00 0.00 1.00 0.07 7.00 1.00 0.00 1.00 TheCEDL_homework2
125.00 0.14 0.86 0.49 0.51 58.98 0.41 2.00 0.00 0.08 ditsing_compiler
8.00 0.00 1.00 0.50 0.50 1.66 8.00 1.00 0.00 1.00 dsgn425-s15_week_2_homework
11.00 0.00 1.00 0.36 0.64 887.50 0.03 1.00 0.00 0.02 llcjimmy_homework
10.00 0.00 1.00 0.50 0.50 166.06 0.16 1.00 0.00 0.11 DrexelCS360-201525_homeworks
39.00 0.10 0.90 0.44 0.56 358.83 0.07 9.00 0.00 0.04 adhocteam_homework
27.00 0.00 1.00 0.22 0.78 0.08 27.00 5.00 0.00 1.00 forsnbs_homework
582.00 0.14 0.86 0.15 0.85 46.48 0.52 3.00 0.00 0.16 bramwelt_homework
149.00 0.98 0.02 0.97 0.03 1.57 15.37 39.00 0.00 0.40 zhufengzhufeng_zhufeng_homework11
420.00 0.27 0.73 0.58 0.42 5.26 4.57 2.00 0.00 0.60 ericdouglas_courses
290.00 0.16 0.84 0.61 0.39 37.00 0.65 2.00 0.00 0.23 harababurel_homework
30.00 0.57 0.43 0.63 0.37 19.16 1.30 5.00 0.00 0.33 Squifi_homework
23.00 0.52 0.48 0.22 0.78 53.39 0.47 4.00 0.00 0.10 stat157_homework-01
61.00 0.31 0.69 0.62 0.38 410.37 0.06 4.00 0.00 0.04 richardtsai_homework
8.00 0.12 0.88 0.25 0.75 16.94 1.62 3.00 0.00 0.80 MagicCube_homework
7.00 0.43 0.57 0.14 0.86 35.94 0.78 2.00 0.00 0.44 chanceCyphers_homeworks
319.00 0.27 0.73 0.58 0.42 110.03 0.22 3.00 0.00 0.12 wme7_aero-matlab
51.00 0.94 0.06 0.86 0.14 0.44 51.00 7.00 0.00 1.00 tarasVarvariuk_Homework
15.00 0.00 1.00 0.20 0.80 36.16 0.71 3.00 0.00 0.27 evagnostic_ios-decal-hw1
21.00 0.00 1.00 0.05 0.95 434.19 0.06 2.00 0.00 0.02 rails-decal_sp16-hw2
4.00 1.00 0.00 0.75 0.25 1.17 4.00 2.00 0.00 1.00 TheCEDL_homework1
13.00 0.15 0.85 0.38 0.62 163.30 0.16 2.00 0.00 0.11 ORIE4741_homework
5.00 0.00 1.00 0.60 0.40 49.81 0.60 3.00 0.00 0.33 evagnostic_ios-decal-hw2
5.00 0.00 1.00 1.00 0.00 0.01 5.00 1.00 0.00 1.00 finabay_homework
56.00 0.25 0.75 0.52 0.48 40.57 0.60 7.00 0.00 0.27 neatLines_Homework
128.00 0.23 0.77 0.08 0.92 11.33 2.13 27.00 0.00 0.17 mattswann_WDI6_MELB_homework
5.00 0.00 1.00 1.00 0.00 12.31 2.44 1.00 0.00 1.00 TIY-ATL-ROR-2016-Feb_homework
1250.00 0.28 0.72 0.23 0.77 12.85 1.87 76.00 0.00 0.17 rellermeyer_course_os
34.00 0.03 0.97 0.26 0.74 104.09 0.24 1.00 0.00 0.12 kaleko_CourseraML
32.00 0.16 0.84 0.44 0.56 77.41 0.32 6.00 0.00 0.17 dataviscourse_2015-dataviscourse-homework
2130.00 0.42 0.58 0.52 0.48 0.71 33.59 130.00 0.00 0.72 elsys_c-programming-homework
13.00 0.00 1.00 0.92 0.08 39.36 0.66 1.00 0.00 0.45 camdenlohman_Homework
33.00 0.33 0.67 0.61 0.39 242.77 0.10 3.00 0.00 0.06 Sheeri_mysql-marinate
11.00 1.00 0.00 0.45 0.55 32.05 0.82 1.00 0.00 0.14 skatenerd_homework
27.00 0.30 0.70 0.70 0.30 66.39 0.38 2.00 0.00 0.22 mignev_python-homework
15.00 0.27 0.73 0.47 0.53 16.98 1.51 3.00 0.00 0.50 ppx17_saas-homework-unittests
71.00 0.13 0.87 0.06 0.94 35.88 0.68 4.00 0.00 0.33 cis198-2016s_homework
221.00 0.20 0.80 0.23 0.77 48.20 0.50 5.00 0.00 0.13 Pinafore_ml-hw
442.00 0.20 0.80 0.25 0.75 141.12 0.17 10.00 0.00 0.06 ultrasaurus_test-first-teaching
19.00 0.21 0.79 0.47 0.53 108.88 0.23 4.00 0.00 0.13 UTK-geog415-s15_homework
40.00 0.05 0.95 0.80 0.20 120.22 0.20 1.00 0.00 0.06 inowas_homework
4.00 0.25 0.75 0.75 0.25 36.43 0.88 2.00 0.00 0.60 jdanzig_week1-homework
4.00 0.50 0.50 0.00 1.00 18.13 1.76 1.00 0.00 1.00 nau-comp3320_homework03
2.00 0.00 1.00 0.00 1.00 0.05 2.00 1.00 0.00 1.00 tiyd-python-2015-05_word-frequency
122.00 0.07 0.93 0.16 0.84 19.99 1.21 11.00 0.00 0.29 codyduval_SES_Homework
29.00 0.00 1.00 0.55 0.45 1.52 16.31 2.00 0.00 1.00 boothappdev_homework_best_of_everything
175.00 0.11 0.89 0.31 0.69 4.26 5.67 21.00 0.00 0.74 GDG-NN_study_jams_homework
3.00 0.00 1.00 0.00 1.00 2.76 3.00 1.00 0.00 1.00 nbxjf_Homework
4.00 0.00 1.00 0.00 1.00 7.94 4.00 2.00 0.00 1.00 TP1-HHU_Homework0
54.00 0.02 0.98 0.28 0.72 104.25 0.23 2.00 0.00 0.16 utaSlinkman_BSTAT3322
