all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
1499.00 0.14 0.86 0.49 0.51 9.90 2.43 125.00 0.00 0.16 swcarpentry_training-course
902.00 0.08 0.92 0.29 0.71 33.73 0.71 76.00 0.00 0.20 project-open-data_project-open-data
15.00 0.00 1.00 0.80 0.20 0.66 15.00 1.00 0.00 1.00 winwu_R-Programming
42.00 0.02 0.98 0.05 0.95 356.52 0.07 3.00 0.00 0.03 netyouli_WHC_DataModelFactory
6.00 0.50 0.50 0.50 0.50 47.08 0.61 4.00 0.00 0.40 StargazerYi_hw8-homework-in-meteor
31.00 0.13 0.87 0.48 0.52 754.67 0.03 10.00 0.00 0.02 promise-nuggets_promise-nuggets
1.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 dkotegov_homework-4
22.00 0.14 0.86 0.41 0.59 49.24 0.51 1.00 0.00 0.11 openxyz_course
6.00 0.00 1.00 0.83 0.17 3282.85 0.01 2.00 0.00 0.00 fastfedora_google-docs
148.00 1.00 0.00 0.85 0.15 1.26 19.21 47.00 0.00 0.50 zhufengzhufeng_zhufeng_homeworks8
39.00 0.31 0.69 0.49 0.51 337.72 0.07 4.00 0.00 0.03 autoprefixer_autoprefixer
69888.00 0.23 0.77 0.05 0.95 5.89 4.07 463.00 0.00 1.00 illacceptanything_illacceptanything
30.00 0.37 0.63 0.60 0.40 723.43 0.03 3.00 0.00 0.02 abhimanyu003_phpstorm-spacegray
9.00 0.67 0.33 0.33 0.67 531.52 0.05 1.00 0.00 0.04 coding-jam_databinding
37.00 0.05 0.95 0.43 0.57 120.11 0.21 1.00 0.00 0.06 pdsullivan_pdsullivan
3.00 0.00 1.00 1.00 0.00 0.53 3.00 1.00 0.00 1.00 google_google
4.00 0.00 1.00 1.00 0.00 537.59 0.06 1.00 0.00 0.03 tesseract-ocr_tesseract-ocr
11.00 0.27 0.73 0.36 0.64 405.84 0.07 1.00 0.00 0.05 otiai10_otiai10
7.00 0.14 0.86 1.00 0.00 3176.09 0.01 2.00 0.00 0.01 dvdhrm_docs
627.00 0.27 0.73 0.36 0.64 143.14 0.17 88.00 0.00 0.07 rentzsch_mogenerator
45.00 0.07 0.93 0.53 0.47 179.86 0.14 4.00 0.00 0.08 spring-projects_spring-data-document-examples
1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 2048-class_2048-class
239.00 0.26 0.74 0.66 0.34 109.00 0.22 1.00 0.00 0.17 AtomicStryker_github
1661.00 0.02 0.98 0.58 0.42 27.37 0.88 67.00 0.00 0.35 projectcypress_health-data-standards
8.00 0.38 0.62 0.38 0.62 6974.76 0.00 3.00 0.00 0.00 es6_es6
3.00 0.00 1.00 1.00 0.00 0.03 3.00 1.00 0.00 1.00 marsch_homework
21.00 0.14 0.86 0.33 0.67 758.20 0.03 4.00 0.00 0.02 vkiryukhin_pretty-data
12.00 0.50 0.50 0.17 0.83 29.31 0.89 4.00 0.00 0.50 openflint_openflint
2.00 0.00 1.00 0.00 1.00 14.65 2.00 1.00 0.00 1.00 b3ll_BaseGitHubPage
2.00 1.00 0.00 1.00 0.00 0.01 2.00 1.00 0.00 1.00 qualityengineering_HomeWork
1093.00 0.25 0.75 0.51 0.49 5.91 4.07 3.00 0.00 0.90 optc_optc
178.00 0.22 0.78 0.56 0.44 125.46 0.19 3.00 0.00 0.05 perl6_course
128.00 0.72 0.28 0.31 0.69 83.30 0.29 41.00 0.00 0.04 FOSSdirectory_FOSSdirectory
554.00 0.29 0.71 0.36 0.64 52.93 0.45 13.00 0.00 0.13 nella_framework
3.00 0.00 1.00 0.33 0.67 182.66 0.20 2.00 0.00 0.12 trecloux_spring-data-jpa-examples
10.00 0.60 0.40 0.70 0.30 902.26 0.03 3.00 0.00 0.01 codepo8_canvas-masking
3.00 0.33 0.67 0.67 0.33 591.71 0.06 1.00 0.00 0.06 rladstaetter_fhj
6.00 0.67 0.33 0.00 1.00 88.86 0.32 2.00 0.00 0.16 homogenius_docs
18.00 0.00 1.00 0.72 0.28 48.40 0.52 1.00 0.00 0.20 sumeetsk_dbclass
39.00 0.21 0.79 0.36 0.64 253.33 0.10 7.00 0.00 0.05 GoogleWebComponents_googlewebcomponents
1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 ShaojieLiu_homeWork
