commits_count commits_interval_days commits_per_day repo_name
175.00 360.40 0.49 laravel-doctrine_docs
726.00 1082.41 0.67 bezumkin_Docs
240.00 1069.98 0.22 spring-projects_spring-data-examples
133.00 523.81 0.25 backbee_docs
309.00 838.71 0.37 isotope_docs
137.00 63.99 2.14 devfreebooks_devfreebooks
412.00 321.88 1.28 statamic_docs
182.00 696.79 0.26 uphold_docs
5425.00 782.90 6.93 pantheon-systems_documentation
200.00 637.49 0.31 domino-team_docs
173.00 598.50 0.29 ssbc_docs
538.00 1844.94 0.29 scala-ide_docs
603.00 1271.98 0.47 eucalyptus_architecture
2243.00 1534.99 1.46 unbit_uwsgi-docs
118.00 483.04 0.24 videojs_docs
66.00 996.19 0.07 drunkard_ceph-readable-doc
249.00 1009.15 0.25 UDOOboard_Docs
2326.00 2185.35 1.06 fuel_docs
167.00 223.85 0.75 unifiedremote_Docs
82.00 97.69 0.84 FXDocs_docs
29.00 68.06 0.43 Kinect_Docs
40.00 180.40 0.22 mpusher_docs
100.00 612.01 0.16 newsnerdery_docs
274.00 945.58 0.29 moltin_docs
117.00 1214.43 0.10 croogo_docs
213.00 1794.79 0.12 es5_es5
283.00 401.09 0.71 conan-io_docs
747.00 901.64 0.83 Qabel_qabel
1804.00 1261.92 1.43 coreos_docs
803.00 1106.13 0.73 octobercms_docs
112.00 877.75 0.13 slackhq_slack-api-docs
38.00 8.84 4.30 liubin_docs
1040.00 1350.93 0.77 dita-ot_docs
41.00 632.16 0.06 oxyplot_docs
451.00 1701.12 0.27 nodejitsu_docs
2718.00 3225.95 0.84 mapserver_docs
155.00 399.04 0.39 xindong_docs
321.00 585.10 0.55 project-geode_docs
806.00 489.62 1.65 RackHD_docs
85.00 228.99 0.37 DiscordAPI_docs
129.00 862.34 0.15 Khan_style-guides
696.00 979.87 0.71 gogits_docs
2108.00 1779.91 1.18 iron-io_docs
101.00 797.02 0.13 go-macaron_docs
37.00 851.84 0.04 open-power_docs
1493.00 1238.67 1.21 exosite_docs
3006.00 416.70 7.21 mattermost_docs
293.00 689.44 0.42 OxideMod_Docs
272.00 374.48 0.73 intermezzOS_book
909.00 1276.62 0.71 cfgmgmtcamp_cfgmgmtcamp
1125.00 1279.04 0.88 webix-hub_docs
155.00 531.16 0.29 vinli_docs
340.00 574.80 0.59 EasyWeChat_docs
575.00 793.12 0.72 upyun_docs
136.00 1433.66 0.09 webpack_docs
604.00 918.18 0.66 INN_docs
1324.00 1917.51 0.69 railsbridge_docs
4.00 27.80 0.14 fudanchii_docs
12861.00 2182.62 5.89 cakephp_docs
4698.00 2098.09 2.24 hyperboria_docs
320.00 468.00 0.68 DataTorrent_docs
1086.00 811.02 1.34 prometheus_docs
10801.00 1925.07 5.61 mongodb_docs
522.00 694.69 0.75 donnemartin_data-science-ipython-notebooks
359.00 491.19 0.73 roots_docs
90.00 16.32 5.51 davehorton_docs
650.00 857.70 0.76 npm_docs
