commits_count commits_interval_days commits_per_day repo_name
893.00 1720.43 0.52 railsgirls_railsgirls
944.00 1185.66 0.80 infochimps-labs_big_data_for_chimps
57.00 1106.05 0.05 chaconnewu_free-data-science-books
4.00 23.77 0.17 benjamin-chan_GettingAndCleaningData
187.00 176.22 1.06 epfml_ML_course
36.00 500.54 0.07 BinRoot_Haskell-Data-Analysis-Cookbook
246.00 878.44 0.28 bulutyazilim_awesome-datascience
68.00 188.60 0.36 mikeckennedy_python-jumpstart-course-demos
24.00 19.10 1.26 herrfz_dataanalysis
360.00 1471.23 0.24 profjsb_python-bootcamp
47.00 179.60 0.26 open-source-society_data-science
48.00 94.32 0.51 PENGZhaoqing_CourseSelect
299.00 424.72 0.70 TelerikAcademy_Databases
19.00 1015.67 0.02 jdavis_latex-homework-template
14.00 16.51 0.85 rdpeng_ExData_Plotting1
51.00 483.99 0.11 berkeley-cs186_course-sp15
75.00 552.83 0.14 jonathan-bower_DataScienceResources
42.00 275.21 0.15 DataScienceToolbox_data-science-toolbox
115.00 429.17 0.27 gboeing_urban-data-science
119.00 694.73 0.17 aloctavodia_Doing_bayesian_data_analysis
18.00 83.22 0.22 AllenDowney_DataScience
22.00 337.18 0.07 byorgey_haskell-course
33.00 527.30 0.06 jdleesmiller_latex-course
63.00 370.60 0.17 lyzidiamond_learn-geojson
107.00 114.01 0.94 CSC-510_Course
60.00 344.22 0.17 sux13_DataScienceSpCourseNotes
198.00 153.80 1.29 dataiap_dataiap
109.00 293.71 0.37 tayiorbeii_egghead
142.00 728.18 0.20 hackman_linux-sysadmin-course
27.00 7.73 3.49 open-nsm_course
25.00 1578.17 0.02 chrisclark_PythonForDataScience
23.00 381.03 0.06 MicrosoftLearning_Analyzing-Visualizing-Data-Excel
106.00 792.73 0.13 briandalessandro_DataScienceCourse
412.00 1736.44 0.24 substance_data
94.00 205.59 0.46 jxieeducation_DIY-Data-Science
26.00 224.93 0.12 zipfian_data-science-primer
74.00 120.19 0.62 jhu-ep-coursera_fullstack-course5
105.00 79.06 1.33 Developer-Y_cs-video-courses
71.00 691.70 0.10 rhiever_Data-Analysis-and-Machine-Learning-Projects
313.00 122.60 2.55 ml6973_Course
102.00 348.03 0.29 jadianes_data-science-your-way
270.00 67.90 3.98 bardcollege_bardcollege
167.00 889.00 0.19 jmankoff_data
135.00 315.51 0.43 jhu-ep-coursera_fullstack-course4
175.00 450.90 0.39 pitosalas_course
183.00 349.70 0.52 ml4a_ml4a
484.00 1948.59 0.25 coffeescript-cookbook_coffeescript-cookbook
477.00 497.79 0.96 ledeprogram_courses
97.00 450.65 0.22 ujjwalkarn_DataSciencePython
443.00 779.30 0.57 prakhar1989_awesome-courses
207.00 569.00 0.36 stephens999_fiveMinuteStats
1313.00 207.82 6.32 UCSB-CS56-F16_UCSB-CS56-F16
16.00 808.14 0.02 gumption_Python_for_Data_Science
485.00 599.77 0.81 chyyuu_os_course_spoc_exercises
231.00 377.12 0.61 asu-cis-capstone_course-info
338.00 437.14 0.77 lgreski_datasciencectacontent
635.00 827.51 0.77 bangbangcon_bangbangcon
622.00 2348.00 0.26 WebGLSamples_WebGLSamples
37.00 157.88 0.23 boniface_course
148.00 1095.66 0.14 jeroenjanssens_data-science-at-the-command-line
7.00 340.61 0.02 mapschool_course
17.00 8.15 2.09 plushogskolan_data
92.00 29.00 3.17 QuantumFractal_Data-Structure-Zoo
57.00 116.74 0.49 uit-inf-3203_Course
287.00 879.66 0.33 DataScienceSpecialization_DataScienceSpecialization
202.00 350.18 0.58 artemmavrin_latex-homework
489.00 1194.10 0.41 camenergydatalab_EnergyDataSimulationChallenge
60.00 1033.87 0.06 nborwankar_LearnDataScience
81.00 1062.71 0.08 Baeldung_course
201.00 707.02 0.28 iamralpht_iamralpht
885.00 621.32 1.42 DaveBackus_Data_Bootcamp
460.00 633.50 0.73 softEcon_course
95.00 376.76 0.25 drivendata_cookiecutter-data-science
344.00 564.05 0.61 MIDS-scaling-up_coursework
161.00 215.98 0.75 words-sdsc_coursera
493.00 901.89 0.55 tuhdo_tuhdo
65.00 679.31 0.10 vnpy_vnpy
418.00 733.01 0.57 cs1331_cs1331
67.00 197.60 0.34 dyweb_course
28.00 380.47 0.07 jhu-ep-coursera_fullstack-course1-module1
7.00 613.97 0.01 EasyD_IntroToDataScience
230.00 253.33 0.91 cbahlai_OSRR_course
51.00 331.13 0.15 jtleek_dataanalysis
14.00 17.86 0.78 objcio_core-data
372.00 1127.88 0.33 DrSkippy_Data-Science-45min-Intros
35.00 858.61 0.04 mbtaviz_mbtaviz
29.00 17.95 1.62 jmstanto_data-science-r
67.00 287.57 0.23 micrum_course
39.00 57.07 0.68 chrisdaly_Data-Scientist-MOOC
969.00 824.88 1.17 STAT545-UBC_STAT545-UBC
267.00 441.08 0.61 msr-ds3_coursework
502.00 167.24 3.00 angular-university_courses
1.00 216.73 0.00 alignedleft_data-vis-d3
275.00 678.60 0.41 cs231n_cs231n
152.00 692.18 0.22 hanzichi_hanzichi
261.00 785.08 0.33 DataScienceSpecialization_courses
66.00 139.32 0.47 mausv_Course
286.00 621.83 0.46 uxrecipe_uxrecipe
1850.00 362.07 5.11 rangle_ngCourse2
401.00 1021.28 0.39 fbkarsdorp_python-course
67.00 45.72 1.47 hmason_datastorytelling
268.00 711.06 0.38 CSC-DevOps_Course
47.00 141.54 0.33 hmods_course
54.00 1787.82 0.03 saasbook_courseware
735.00 841.26 0.87 mahmoudparsian_data-algorithms-book
25.00 39.45 0.63 yhat_DataGotham2013
1.00 0.01 1.00 sevenweeks_databases
63.00 729.55 0.09 joelgrus_data-science-from-scratch
30.00 87.21 0.34 jhu-ep-coursera_fullstack-course1-module3
