commits_count commits_interval_days commits_per_day repo_name
30.00 103.81 0.29 WSU-323-Spring2015_Course
237.00 31.85 7.44 ga-students_bewd_10_nyc_homework
193.00 599.86 0.32 dvirazulay_homework
20.00 0.00 20.00 rhyndo_webdesign-course
22.00 198.17 0.11 vitaly-chibrikov_homework_tester
22.00 317.71 0.07 webdesigndecal_homework
559.00 50.00 11.18 sf-wdi-22-23_23-homework
42.00 119.01 0.35 beta_homework
258.00 55.95 4.61 ga-students_bewd_11_nyc_homework
54.00 26.53 2.04 jelementary-finches_homework
3.00 7.89 0.38 redfern314_olinjs-5-hw
6.00 42.07 0.14 pcantrell_comp225-registrar
30.00 0.92 30.00 zhaqiang_homework
79.00 99.84 0.79 kirbs-_edX-Learning-From-Data-Solutions
22.00 13.53 1.63 Nataliya-Linchevska_Homework
397.00 243.52 1.63 51reboot_actual_07_homework
39.00 101.90 0.38 cis198-2016f_homework
210.00 32.78 6.41 SwiftOldDriver_SwiftHomework
2.00 3.93 0.51 Bogazici-CMPE548-Spring2016_Cmpe548-Assignment1
64.00 437.88 0.15 goit-fe_markup_fe2o
53.00 509.96 0.10 rilian_saas-homework
29.00 0.57 29.00 tiyd-python-2015-05_palindrome
101.00 454.07 0.22 ddtm_dl-course
24.00 1.64 14.63 boothappdev_week_2_homework
21.00 0.06 21.00 CSCI391_homework3
11.00 0.00 11.00 iosdecal_ios-decal-hw1
505.00 58.97 8.56 ga-students_bewd_sf_8_homework
284.00 39.91 7.12 YelimarRodriguez_BEWD_NYC_5_Homework
97.00 2905.01 0.03 ELLIOTTCABLE_Homework
20.00 0.16 20.00 zhoujianer_TCP-homework
25.00 0.00 25.00 web-programming-2016s_2
65.00 355.64 0.18 bcaffo_Caffo-Coursera
25.00 1.12 22.27 dsgn425-s15_week_1_homework
14.00 304.50 0.05 makersquare_ruby-course
51.00 37.56 1.36 fatroom_cs373
9.00 181.66 0.05 boothappdev-s15_homework_fortune_teller
184.00 35.97 5.12 ga-students_BEWD_NYC_9_Homework
30.00 136.96 0.22 codeschool_EmberCourseDemo
15.00 28.71 0.52 wangqiaoxi2016_homework
26.00 84.02 0.31 Sta323-Sp16_Homework
20.00 0.01 20.00 kiei925-winter14_week3-homework
29.00 6.35 4.57 tdyer_ga-git-hw
30.00 79.84 0.38 harvard-cs205_cs205-homework
11.00 15.00 0.73 RSenApps_homeworktracker
96.00 139.25 0.69 Pinafore_ds-hw
272.00 48.93 5.56 miis-l10n_website-l10n_homework
15.00 340.89 0.04 danielkaradachki_HomeWork
133.00 580.04 0.23 turingschool_homework
28.00 331.10 0.08 MINDBODY-FEE_homework
19.00 888.77 0.02 samardzicnenad_Coursera
9.00 15.94 0.56 wesreisz_cis411-77_homework
103.00 1188.43 0.09 fmi_go-homework
46.00 29.87 1.54 cuny-ml-f2014_homework1
27.00 0.00 27.00 boothappdev_homework_essential_ruby
38.00 0.87 38.00 CNfx_homeworkMay
9.00 0.24 9.00 rails-decal_sp15-hw3
24.00 42.00 0.57 ssercpp12_Homework
20.00 9.32 2.15 OlegVolkov2016_HomeWork
2.00 9.59 0.21 yeukhon_homework
762.00 72.31 10.54 ga-students_bewd_sf_10_homework
116.00 1047.58 0.11 pcsforeducation_Homework
30.00 211.08 0.14 iosdecal_ios-decal-hw4
27.00 0.01 27.00 FEWD80_test-homework-assignment
27.00 0.04 27.00 seclab_homework
17.00 0.04 17.00 boothappdev-s15_week_2_homework
22.00 86.35 0.25 Bvaptsarov_Homework
60.00 171.28 0.35 TatkaRedchits_HomeWork
30.00 0.02 30.00 TheCEDL_homework2
125.00 304.75 0.41 ditsing_compiler
23.00 0.48 23.00 dsgn425-s15_week_2_homework
19.00 369.79 0.05 llcjimmy_homework
11.00 62.27 0.18 DrexelCS360-201525_homeworks
39.00 568.15 0.07 adhocteam_homework
8.00 0.08 8.00 forsnbs_homework
582.00 1125.19 0.52 bramwelt_homework
149.00 9.69 15.37 zhufengzhufeng_zhufeng_homework11
420.00 91.87 4.57 ericdouglas_courses
294.00 462.75 0.64 harababurel_homework
30.00 23.16 1.30 Squifi_homework
19.00 48.94 0.39 stat157_homework-01
61.00 1025.93 0.06 richardtsai_homework
11.00 4.94 2.23 MagicCube_homework
11.00 8.99 1.22 chanceCyphers_homeworks
319.00 1457.95 0.22 wme7_aero-matlab
51.00 0.92 51.00 tarasVarvariuk_Homework
1.00 21.09 0.05 evagnostic_ios-decal-hw1
4.00 361.82 0.01 rails-decal_sp16-hw2
28.00 0.15 28.00 TheCEDL_homework1
12.00 81.65 0.15 ORIE4741_homework
25.00 8.30 3.01 evagnostic_ios-decal-hw2
12.00 0.00 12.00 finabay_homework
56.00 92.97 0.60 neatLines_Homework
128.00 59.97 2.13 mattswann_WDI6_MELB_homework
9.00 2.05 4.39 TIY-ATL-ROR-2016-Feb_homework
1250.00 668.57 1.87 rellermeyer_course_os
34.00 143.13 0.24 kaleko_CourseraML
32.00 99.99 0.32 dataviscourse_2015-dataviscourse-homework
2130.00 63.42 33.59 elsys_c-programming-homework
21.00 47.02 0.45 camdenlohman_Homework
33.00 323.70 0.10 Sheeri_mysql-marinate
9.00 13.35 0.67 skatenerd_homework
25.00 71.92 0.35 mignev_python-homework
4.00 9.90 0.40 ppx17_saas-homework-unittests
71.00 104.65 0.68 cis198-2016s_homework
221.00 441.85 0.50 Pinafore_ml-hw
442.00 2593.16 0.17 ultrasaurus_test-first-teaching
16.00 81.66 0.20 UTK-geog415-s15_homework
40.00 195.35 0.20 inowas_homework
2.00 4.55 0.44 jdanzig_week1-homework
9.00 2.27 3.97 nau-comp3320_homework03
12.00 0.00 12.00 tiyd-python-2015-05_word-frequency
122.00 100.81 1.21 codyduval_SES_Homework
2.00 1.78 1.13 boothappdev_homework_best_of_everything
175.00 30.88 5.67 GDG-NN_study_jams_homework
30.00 0.23 30.00 nbxjf_Homework
29.00 0.99 29.00 TP1-HHU_Homework0
54.00 230.22 0.23 utaSlinkman_BSTAT3322
14.00 256.39 0.05 devleague_prep-js-functions
10.00 16.58 0.60 audaciousaretes_homework
13.00 8.41 1.55 lan2720_cnn-for-captcha
300.00 59.18 5.07 ga-students_bewd_sf_9_homework
244.00 56.83 4.29 sf-wdi-25_homework
28.00 95.16 0.29 KrasimirRaikov_Course
8.00 0.19 8.00 appdev-summer15_rock_paper_scissors_homework
1.00 0.40 1.00 NTHU-EE-CV-2015-Fall_homework0
671.00 790.66 0.85 wangjohn_mit-courses
2.00 232.95 0.01 AdaGold_weekend-warrior
44.00 114.29 0.38 hogeschool_INFDEV-Homework
188.00 14.96 12.57 trunk-studio_hellojs-homework
10.00 10.87 0.92 iosdecal_ios-decal-hw2
20.00 0.01 20.00 jpoehls_homework
609.00 1092.59 0.56 bcho_homework
549.00 72.97 7.52 ga-wolf_WDI9_Homework
22.00 3.01 7.30 stilberk_HomeWork
27.00 10.47 2.58 pp2-ex_homework-3
573.00 117.56 4.87 jstac_quantecon_nyu_2016_homework
14.00 2.19 6.40 rbobbins_olinjs-1-hw
25.00 0.00 25.00 cst1201-d644_ArrayHomework
12.00 6.43 1.87 kiei925_week_1_homework
23.00 0.79 23.00 Thinking-Oriented-Programming_my-homework
29.00 0.00 29.00 milan-kaszas-doclerholding_candidate_practical_homework_refactoring
17.00 7.83 2.17 UCS0065_20141117_Homework
4.00 44.14 0.09 romanchukenator_homework
9.00 0.03 9.00 CSCI391_homework4
39.00 456.75 0.09 usf-cs212-2015_homework
11.00 0.04 11.00 kiei925-winter14_week4-homework
1985.00 77.87 25.49 sf-wdi-26_homework
20.00 0.00 20.00 BulatMukhutdinov_HomeWork
8.00 13.39 0.60 nau-comp3320_homework02
12.00 3.43 3.50 MAP-NCU2015_Lesson-03-JavaScriptBestPratice-HW
24.00 2.18 11.03 rbobbins_olinjs-2-hw
29.00 52.11 0.56 tpdi_MMDS-001-Homework
17.00 0.01 17.00 potikanond_cpe200-week8-hw
2.00 5.60 0.36 cmccanna24_week2-homework
9.00 0.99 9.00 cvdlab-alumni_homework
12.00 5.93 2.02 nau-comp3320_homework00
22.00 389.34 0.06 rwatso12_Homework
20.00 0.00 20.00 biofisio32_Coursera
60.00 332.97 0.18 iict-it227_homework-rocketship
24.00 19.04 1.26 lyzcharles_HomeWork
22.00 0.02 22.00 kokoon_homework
12.00 0.45 12.00 Epam-node-js-training_session-1-homework
30.00 75.61 0.40 Spectop1017_homework
37.00 334.64 0.11 agent-system_homework
12.00 29.83 0.40 gdc-haskell_homework
182.00 6.92 26.31 zhufengzhufeng_zhufeng_homework9
30.00 0.00 30.00 makersquare_js-course
597.00 72.73 8.21 ga-wolf_WDi14-Homework
2.00 6.67 0.30 LYecheng_week4-homework
9.00 2.70 3.33 ruby-course-may-2014_homework1
276.00 17.94 15.38 astory_cs4740_4
342.00 843.85 0.41 webdude21_Homework
3.00 4.30 0.70 AmalHussein_ga-methods-calculator-homework
2.00 0.00 2.00 sf-wdi-15_auth_homework
20.00 0.00 20.00 boothappdev-s15_week_1_homework
11.00 4.16 2.64 ppizarro_coursera
11.00 43.79 0.25 ga-students_wdi-fundamentals-memorygame
14.00 177.45 0.08 UCSB-CS56-M16_M16-lab06
248.00 243.97 1.02 wzb56_homework
13.00 4.18 3.11 eranda2595_ios-decal-hw5
2.00 2.35 0.85 FEWD80_homework-04-citipix
30.00 0.01 30.00 wally-fork_homework
13.00 5.91 2.20 jgiang_ios-decal-hw3
302.00 95.62 3.16 DavidYKay_homework
114.00 309.49 0.37 d0ntth1nc_SoftUny-HW
29.00 0.00 29.00 raincoatrun_hw2
57.00 103.05 0.55 CS171_2015-cs171-homework
30.00 0.11 30.00 outsidebedisdoor_ios-decal-hw2
20.00 40.25 0.50 christi3k_coursework
9.00 6.38 1.41 zxftr45_kottans_2016_homeworks
49.00 22.49 2.18 shrike_homework
133.00 7.94 16.75 zhufengzhufeng_homework_node7
19.00 73.84 0.26 CS212-S16_homework
110.00 75.58 1.46 GeekBand_GeekBand-Android-1501-Homework
24.00 23.41 1.03 ruby-course-may-2014_homework2
119.00 328.99 0.36 joelburton_Homework
27.00 192.15 0.14 kingspray_c-programming-2014-2015-homework
4.00 357.02 0.01 qcl_ntu-homeworks
50.00 72.06 0.69 Sta523-Fa15_Homework
721.00 74.11 9.73 sf-wdi-22-23_22-homework
68.00 160.84 0.42 EvgeniyViktorov_homework
40.00 42.24 0.95 Swizec_ml-class-homework
14.00 2.05 6.82 wdi-sf-jan_dom_lab
7.00 0.57 7.00 devleague_prep_getting_loopy
22.00 0.84 22.00 nroxana_homework
43.00 985.88 0.04 neueda_homework
1.00 36.97 0.03 kaw3939_Homework
27.00 97.29 0.28 datascience16_homeworks
32.00 641.83 0.05 emilmont_Artificial-Intelligence-and-Machine-Learning
60.00 817.67 0.07 charmoniumQ_Homework
158.00 48.09 3.29 zhufengzhufeng_node02_homeWork
22.00 17.21 1.28 agent-system_homework20150415
22.00 272.91 0.08 azariosays_homework
30.00 0.02 30.00 Grouper_Homework
9.00 0.11 9.00 syoon46_Homework
34.00 35.85 0.95 UCS0065_20141103_homework
20.00 273.64 0.07 jez_latex-homework-class
21.00 10.97 1.92 fdac_Homework0
27.00 0.01 27.00 CSCI391_Homework2
35.00 373.21 0.09 NGSAnalysisOnBeocatClass_homework
11.00 0.01 11.00 web-programming-2016s_1
80.00 148.40 0.54 davidvgus_homework
150.00 1882.45 0.08 fmi_python-homework
