commits_count commits_interval_days commits_per_day repo_name
1499.00 617.71 2.43 swcarpentry_training-course
902.00 1266.23 0.71 project-open-data_project-open-data
30.00 0.38 30.00 winwu_R-Programming
42.00 609.06 0.07 netyouli_WHC_DataModelFactory
27.00 9.81 2.75 StargazerYi_hw8-homework-in-meteor
31.00 943.33 0.03 promise-nuggets_promise-nuggets
17.00 0.00 17.00 dkotegov_homework-4
7.00 43.09 0.16 openxyz_course
19.00 683.93 0.03 fastfedora_google-docs
148.00 7.71 19.21 zhufengzhufeng_zhufeng_homeworks8
40.00 602.02 0.07 autoprefixer_autoprefixer
69890.00 17170.27 4.07 illacceptanything_illacceptanything
30.00 874.14 0.03 abhimanyu003_phpstorm-spacegray
28.00 177.17 0.16 coding-jam_databinding
37.00 180.17 0.21 pdsullivan_pdsullivan
8.00 0.04 8.00 google_google
10.00 67.20 0.15 tesseract-ocr_tesseract-ocr
16.00 169.10 0.09 otiai10_otiai10
21.00 794.02 0.03 dvdhrm_docs
629.00 3743.39 0.17 rentzsch_mogenerator
45.00 329.74 0.14 spring-projects_spring-data-document-examples
17.00 0.00 17.00 2048-class_2048-class
239.00 1080.92 0.22 AtomicStryker_github
1665.00 1913.05 0.87 projectcypress_health-data-standards
28.00 2034.31 0.01 es6_es6
29.00 0.00 29.00 marsch_homework
11.00 631.83 0.02 vkiryukhin_pretty-data
20.00 13.43 1.49 openflint_openflint
28.00 0.61 28.00 b3ll_BaseGitHubPage
22.00 0.00 22.00 qualityengineering_HomeWork
1093.00 268.73 4.07 optc_optc
178.00 925.27 0.19 perl6_course
128.00 440.81 0.29 FOSSdirectory_FOSSdirectory
554.00 1219.71 0.45 nella_framework
15.00 15.22 0.99 trecloux_spring-data-jpa-examples
30.00 338.35 0.09 codepo8_canvas-masking
11.00 49.31 0.22 rladstaetter_fhj
23.00 18.51 1.24 homogenius_docs
30.00 34.29 0.87 sumeetsk_dbclass
39.00 401.10 0.10 GoogleWebComponents_googlewebcomponents
30.00 0.00 30.00 ShaojieLiu_homeWork
28.00 0.03 28.00 wehrley_wehrley
11.00 0.00 11.00 xapple_python_homework
39.00 14.00 2.79 douban-code_douban-code
508.00 1215.63 0.42 brainwallet_brainwallet
615.00 747.20 0.82 netjungle_courseplay
22.00 0.05 22.00 adrianiurov_Homework
42.00 129.65 0.32 gopherchina_docs
971.00 259.52 3.74 zzeni_swift-academy-homeworks-archive
7.00 314.84 0.02 mqtt_mqtt
26.00 0.02 26.00 terere55_data
116.00 0.95 116.00 zhufengzhufeng_zhufeng_homework8
285.00 928.68 0.31 awslabs_aws-big-data-blog
20.00 125.13 0.16 linux-on-ibm-z_docs
792.00 823.15 0.96 Azure_Azure-MachineLearning-DataScience
58.00 1506.71 0.04 h5bp_h5bp
29.00 0.00 29.00 IFMO-Android-2015_homework5
30.00 67.32 0.45 ZongXY_homework
2.00 393.22 0.01 pwning_docs
2.00 263.05 0.01 cwBerkeley_data
2.00 459.26 0.00 openopensource_openopensource
