total dirs files folder_names file_names fo_and_fi_names repo_name
8 0.75 0.25 "acl extensions fluent migrations orm scout " ".gitignore README.md " ".gitignore README.md acl extensions fluent migrations orm scout " laravel-doctrine_docs
5 0.40 0.60 "en ru " "Contributing.md Readme.md license.txt " "Contributing.md Readme.md en license.txt ru " bezumkin_Docs
17 0.71 0.29 "bom cassandra elasticsearch jpa map mongodb multi-store neo4j redis rest solr web " ".gitignore .travis.yml LICENSE README.md pom.xml " ".gitignore .travis.yml LICENSE README.md bom cassandra elasticsearch jpa map mongodb multi-store neo4j pom.xml redis rest solr web " spring-projects_spring-data-examples
5 0.40 0.60 "blogbee doc " ".gitignore README.md mkdocs.yml " ".gitignore README.md blogbee doc mkdocs.yml " backbee_docs
4 0.50 0.50 "de en " ".gitignore README.md " ".gitignore README.md de en " isotope_docs
11 0.09 0.91 "public " ".eslintignore .eslintrc .gitignore Gruntfile.js README.md categories.js feed.js harp.json package.json yarn.lock " ".eslintignore .eslintrc .gitignore Gruntfile.js README.md categories.js feed.js harp.json package.json public yarn.lock " devfreebooks_devfreebooks
6 0.67 0.33 ".github assets content storage " ".gitignore README.md " ".github .gitignore README.md assets content storage " statamic_docs
17 0.00 1.00 "" "README.md _accounts.md _applications.md _authentication.md _cards.md _contacts.md _currencies.md _entities.md _errors.md _introduction.md _pagination.md _ratelimits.md _support.md _tickers.md _transactions.md _transparency.md _users.md " "README.md _accounts.md _applications.md _authentication.md _cards.md _contacts.md _currencies.md _entities.md _errors.md _introduction.md _pagination.md _ratelimits.md _support.md _tickers.md _transactions.md _transparency.md _users.md " uphold_docs
28 0.18 0.82 ".github app features scripts source " ".dropbox .gitignore .mention-bot CONTRIBUTING.md Gemfile Gemfile.lock Gruntfile.js LICENSE README.md Rakefile Vagrantfile article_template.md behat.yml budget.json circle.yml composer.json composer.lock index.php package.json sculpin.json sculpin.lock style-guide.md wraith.yaml " ".dropbox .github .gitignore .mention-bot CONTRIBUTING.md Gemfile Gemfile.lock Gruntfile.js LICENSE README.md Rakefile Vagrantfile app article_template.md behat.yml budget.json circle.yml composer.json composer.lock features index.php package.json scripts sculpin.json sculpin.lock source style-guide.md wraith.yaml " pantheon-systems_documentation
5 0.40 0.60 "docs gl_theme " ".gitignore README.md mkdocs.yml " ".gitignore README.md docs gl_theme mkdocs.yml " domino-team_docs
9 0.56 0.44 "api articles scripts scuttlebot ssb " "README.md gossip-graph1.png gossip-graph2.png shs.pdf " "README.md api articles gossip-graph1.png gossip-graph2.png scripts scuttlebot shs.pdf ssb " ssbc_docs
6 0.33 0.67 "project src " ".gitignore LICENSE README.rst build.sbt " ".gitignore LICENSE README.rst build.sbt project src " scala-ide_docs
9 0.33 0.67 "bin features lib " ".gitignore .gitmodules LICENSE README.wiki TODO wiki " ".gitignore .gitmodules LICENSE README.wiki TODO bin features lib wiki " eucalyptus_architecture
