total dirs files folder_names file_names fo_and_fi_names repo_name
14 0.36 0.64 "_layouts _posts css images js " ".gitignore CNAME Gemfile Gemfile.lock LICENSE README.md _config.yml favicon.png index.html " ".gitignore CNAME Gemfile Gemfile.lock LICENSE README.md _config.yml _layouts _posts css favicon.png images index.html js " railsgirls_railsgirls
66 0.08 0.92 "attic bin code images supplementary " ".dexy .gitattributes .gitignore .gitmodules .gitscribe Ch00-preface.asciidoc Ch01-hadoop_basics.asciidoc Ch02-map_reduce.asciidoc Ch03-introducing-baseball-data.asciidoc Ch04-introduction_to_pig.asciidoc Ch05-map_only_patterns.asciidoc Ch06-grouping_patterns.asciidoc Ch07-joining_patterns.asciidoc Ch08-ordering_patterns.asciidoc Ch09-uniquing_patterns.asciidoc Part_II-patterns.asciidoc Part_I_Intro.asciidoc README.md Rakefile TODO.asciidoc XX00-outlines.asciidoc XX01-intro.asciidoc XX01-opening.asciidoc XX02---part_one-basics.asciidoc XX03.2-extra-bits.asciidoc XX03.5-advanced-mapreduce.asciidoc XX05.5-advanced-material.asciidoc XX10-statistics_and_sampling.asciidoc XX11-advanced_patterns.asciidoc XX12---part_three-applications.asciidoc XX12-event_streams.asciidoc XX13-munging.asciidoc XX14a-spatial-intro.asciidoc XX14b-spatial-mechanics.asciidoc XX14c-spatial-aggregations_on_regions.asciidoc XX14d-spatial-joins_on_regions.asciidoc XX15-text_analysis.asciidoc XX40---part_four-practicalities.asciidoc XX41-big_data_ecosystem.asciidoc XX42-organizing_data.asciidoc XX43-commandline_mojo.asciidoc XX46-tips_and_gotchas.asciidoc XX50---part_five-internals_and_tuning.asciidoc XX51-java_api.asciidoc XX52-advanced_pig.asciidoc XX53-hadoop_internals.asciidoc XX53-tuning-practical_and_eager.asciidoc XX53-tuning-wise_and_lazy.asciidoc XX54-tuning-brave_and_foolish.asciidoc XX54-tuning-use_method_checklist.asciidoc XX55-hbase_data_modeling.asciidoc XX80-appendixes.asciidoc XXE_and_C.md XXLICENSE.asciidoc big_data_for_chimps.pdf book-docinfo.xml book.asciidoc cover.pdf cover.png data list.html " ".dexy .gitattributes .gitignore .gitmodules .gitscribe Ch00-preface.asciidoc Ch01-hadoop_basics.asciidoc Ch02-map_reduce.asciidoc Ch03-introducing-baseball-data.asciidoc Ch04-introduction_to_pig.asciidoc Ch05-map_only_patterns.asciidoc Ch06-grouping_patterns.asciidoc Ch07-joining_patterns.asciidoc Ch08-ordering_patterns.asciidoc Ch09-uniquing_patterns.asciidoc Part_II-patterns.asciidoc Part_I_Intro.asciidoc README.md Rakefile TODO.asciidoc XX00-outlines.asciidoc XX01-intro.asciidoc XX01-opening.asciidoc XX02---part_one-basics.asciidoc XX03.2-extra-bits.asciidoc XX03.5-advanced-mapreduce.asciidoc XX05.5-advanced-material.asciidoc XX10-statistics_and_sampling.asciidoc XX11-advanced_patterns.asciidoc XX12---part_three-applications.asciidoc XX12-event_streams.asciidoc XX13-munging.asciidoc XX14a-spatial-intro.asciidoc XX14b-spatial-mechanics.asciidoc XX14c-spatial-aggregations_on_regions.asciidoc XX14d-spatial-joins_on_regions.asciidoc XX15-text_analysis.asciidoc XX40---part_four-practicalities.asciidoc XX41-big_data_ecosystem.asciidoc XX42-organizing_data.asciidoc XX43-commandline_mojo.asciidoc XX46-tips_and_gotchas.asciidoc XX50---part_five-internals_and_tuning.asciidoc XX51-java_api.asciidoc XX52-advanced_pig.asciidoc XX53-hadoop_internals.asciidoc XX53-tuning-practical_and_eager.asciidoc XX53-tuning-wise_and_lazy.asciidoc XX54-tuning-brave_and_foolish.asciidoc XX54-tuning-use_method_checklist.asciidoc XX55-hbase_data_modeling.asciidoc XX80-appendixes.asciidoc XXE_and_C.md XXLICENSE.asciidoc attic big_data_for_chimps.pdf bin book-docinfo.xml book.asciidoc code cover.pdf cover.png data images list.html supplementary " infochimps-labs_big_data_for_chimps
2 0.00 1.00 "" "LICENSE README.md " "LICENSE README.md " chaconnewu_free-data-science-books
7 0.71 0.29 "Project Quiz1 Quiz2 Quiz3 Quiz4 " ".gitignore README.md " ".gitignore Project Quiz1 Quiz2 Quiz3 Quiz4 README.md " benjamin-chan_GettingAndCleaningData
5 0.60 0.40 "labs lectures projects " ".gitignore README.md " ".gitignore README.md labs lectures projects " epfml_ML_course
13 0.92 0.08 "Ch01 Ch02 Ch03 Ch04 Ch05 Ch06 Ch07 Ch08 Ch09 Ch10 Ch11 Ch12 " "README.md " "Ch01 Ch02 Ch03 Ch04 Ch05 Ch06 Ch07 Ch08 Ch09 Ch10 Ch11 Ch12 README.md " BinRoot_Haskell-Data-Analysis-Cookbook
8 0.00 1.00 "" ".travis.yml Algorithms.md DataScienceMethodology.md LICENSE README.md ToDo-List.md contributing.md githubGroups.md " ".travis.yml Algorithms.md DataScienceMethodology.md LICENSE README.md ToDo-List.md contributing.md githubGroups.md " bulutyazilim_awesome-datascience
7 0.43 0.57 "apps readme_resources transcripts " ".gitignore Credits.md LICENSE README.md " ".gitignore Credits.md LICENSE README.md apps readme_resources transcripts " mikeckennedy_python-jumpstart-course-demos
14 0.79 0.21 "assignment1 assignment2 data week1 week2 week3 week4 week5 week6 week7 week8 " ".gitignore README.md custom.css " ".gitignore README.md assignment1 assignment2 custom.css data week1 week2 week3 week4 week5 week6 week7 week8 " herrfz_dataanalysis
11 0.45 0.55 "Admin Breakouts DataFiles_and_Notebooks Homeworks Lectures " ".gitignore LICENSE README.md nb2to3.py schedule.md workshop_checklist.py " ".gitignore Admin Breakouts DataFiles_and_Notebooks Homeworks LICENSE Lectures README.md nb2to3.py schedule.md workshop_checklist.py " profjsb_python-bootcamp
3 0.33 0.67 "extras " "PROJECTS.md README.md " "PROJECTS.md README.md extras " open-source-society_data-science
18 0.56 0.44 ".idea app bin config db lib log public test vendor " ".gitignore .travis.yml Gemfile Gemfile.lock LICENSE.md README.md Rakefile config.ru " ".gitignore .idea .travis.yml Gemfile Gemfile.lock LICENSE.md README.md Rakefile app bin config.ru config db lib log public test vendor " PENGZhaoqing_CourseSelect
7 0.57 0.43 "Sample-Exams Teamwork Topics Workshops " ".gitignore LICENSE README.md " ".gitignore LICENSE README.md Sample-Exams Teamwork Topics Workshops " TelerikAcademy_Databases
7 0.14 0.86 "images " ".gitignore LICENSE README.md TODO.md homework.pdf homework.tex " ".gitignore LICENSE README.md TODO.md homework.pdf homework.tex images " jdavis_latex-homework-template
2 0.50 0.50 "figure " "README.md " "README.md figure " rdpeng_ExData_Plotting1
9 0.78 0.22 "hw0 hw1 hw2 hw3 hw4 hw5 vis-examples " ".gitignore README.md " ".gitignore README.md hw0 hw1 hw2 hw3 hw4 hw5 vis-examples " berkeley-cs186_course-sp15
1 0.00 1.00 "" "README.md " "README.md " jonathan-bower_DataScienceResources
6 0.50 0.50 "build bundles manager " ".gitignore LICENSE README.md " ".gitignore LICENSE README.md build bundles manager " DataScienceToolbox_data-science-toolbox
25 0.88 0.12 "01-Intro-to-Python 02-Wordpress-Web-Publishing 03-Carto-Web-Mapping 04-Python-Loops-Conditionals-Functions 05-Python-Loops-Data-Files 06-QGIS 07-Intro-to-Pandas 08-Intro-to-Pandas-II 09-Git-and-GitHub 10-Working-with-APIs 11-Data-Wrangling 12-Python-Data-Visualization 13-Pandas-Data-Science 14-Regression-Modeling 15-Spatial-Cluster-Analysis 16-Web-Scraping 17-Leaflet-Web-Mapping 18-Geocoding-and-Geolocation 19-Spatial-Analysis-and-Cartography 20-Accessibility-Walkability 21-Urban-Street-Networks Examples-and-Demos " ".gitignore LICENSE.txt README.md " ".gitignore 01-Intro-to-Python 02-Wordpress-Web-Publishing 03-Carto-Web-Mapping 04-Python-Loops-Conditionals-Functions 05-Python-Loops-Data-Files 06-QGIS 07-Intro-to-Pandas 08-Intro-to-Pandas-II 09-Git-and-GitHub 10-Working-with-APIs 11-Data-Wrangling 12-Python-Data-Visualization 13-Pandas-Data-Science 14-Regression-Modeling 15-Spatial-Cluster-Analysis 16-Web-Scraping 17-Leaflet-Web-Mapping 18-Geocoding-and-Geolocation 19-Spatial-Analysis-and-Cartography 20-Accessibility-Walkability 21-Urban-Street-Networks Examples-and-Demos LICENSE.txt README.md " gboeing_urban-data-science
