total dirs files folder_names file_names fo_and_fi_names repo_name
18 0.39 0.61 "_data _includes _layouts _posts _submissions blog css " ".gitignore LICENSE.md Makefile README.md _config.yml curriculum.md feed.xml index.md materials.md schedule.md tips.md " ".gitignore LICENSE.md Makefile README.md _config.yml _data _includes _layouts _posts _submissions blog css curriculum.md feed.xml index.md materials.md schedule.md tips.md " swcarpentry_training-course
61 0.13 0.87 "_includes _layouts assets data examples schema script v1.1 " ".gitignore .travis.yml CNAME CONTRIBUTING.md Chief Data Roles Survey Raw Data_092815.xlsx Gemfile Gemfile.lock IDC.md LICENSE.md OpenDataPolicyPointsofContact.csv README.md SBA Open Data Program.pdf _config.yml _config_local.yml api-basics.md api-sandbox.md business-case.md catalog.md cdo-position-description.md chief-data-officers.md data-hubs.md digital-pii-checklist.md engagement.md epa-case-study.md faq.md favicon.ico federal-awards-faq.md fema-case-study.md future-case-study.md glossary.md google4a4ed786bd80ec44.html governance.md implementation-guide.md index.md iso8601_guidance.md labor-case-study.md licenses.md licensing-resources.md metadata-changelog.md metadata-resources.md points-of-contact.md policy-docs.md policy-memo.md principles.md prioritization.md redactions.md robots.txt schema.md standards.md transportation-case-study.md unknown-license.md videos.md workinggroup.md " ".gitignore .travis.yml CNAME CONTRIBUTING.md Chief Data Roles Survey Raw Data_092815.xlsx Gemfile Gemfile.lock IDC.md LICENSE.md OpenDataPolicyPointsofContact.csv README.md SBA Open Data Program.pdf _config.yml _config_local.yml _includes _layouts api-basics.md api-sandbox.md assets business-case.md catalog.md cdo-position-description.md chief-data-officers.md data-hubs.md data digital-pii-checklist.md engagement.md epa-case-study.md examples faq.md favicon.ico federal-awards-faq.md fema-case-study.md future-case-study.md glossary.md google4a4ed786bd80ec44.html governance.md implementation-guide.md index.md iso8601_guidance.md labor-case-study.md licenses.md licensing-resources.md metadata-changelog.md metadata-resources.md points-of-contact.md policy-docs.md policy-memo.md principles.md prioritization.md redactions.md robots.txt schema.md schema script standards.md transportation-case-study.md unknown-license.md v1.1 videos.md workinggroup.md " project-open-data_project-open-data
4 0.50 0.50 "week2 week4 " ".gitignore README.md " ".gitignore README.md week2 week4 " winwu_R-Programming
5 0.60 0.40 "WHC_DataModelFactory.xcodeproj WHC_DataModelFactory WHC_DataModelFactoryTests " "LICENSE README.md " "LICENSE README.md WHC_DataModelFactory.xcodeproj WHC_DataModelFactory WHC_DataModelFactoryTests " netyouli_WHC_DataModelFactory
2 1.00 0.00 "13331136 group9 " "" "13331136 group9 " StargazerYi_hw8-homework-in-meteor
6 0.17 0.83 "src " ".gitignore README.md docpad.coffee package.json publish.sh " ".gitignore README.md docpad.coffee package.json publish.sh src " promise-nuggets_promise-nuggets
2 0.00 1.00 "" ".gitignore run_tests.py " ".gitignore run_tests.py " dkotegov_homework-4
3 0.00 1.00 "" "20141013.md 项目小组要求.md 项目积分预算指南.md " "20141013.md 项目小组要求.md 项目积分预算指南.md " openxyz_course
2 0.50 0.50 "scripts " "README.md " "README.md scripts " fastfedora_google-docs
11 0.73 0.27 ".idea 第0组 xxx 第1组 第三组马超 第二组_陈晓娟 第六组 杨思远 第六组 第四组 郑伟 " ".gitignore index.txt swoperDemo.html " ".gitignore .idea index.txt swoperDemo.html 第0组 xxx 第1组 第三组马超 第二组_陈晓娟 第六组 杨思远 第六组 第四组 郑伟 " zhufengzhufeng_zhufeng_homeworks8
16 0.06 0.94 "ru " "apple-touch-icon.png autoprefixer.js autoprefixer.min.js code.js comments.html favicon.ico favicon.png highlight.css highlight.js index.html logo.png ribbon.png robots.txt style.css yandex_65a912bc974acb8a.txt " "apple-touch-icon.png autoprefixer.js autoprefixer.min.js code.js comments.html favicon.ico favicon.png highlight.css highlight.js index.html logo.png ribbon.png robots.txt ru style.css yandex_65a912bc974acb8a.txt " autoprefixer_autoprefixer
28 0.29 0.71 "code-and-data--cuz-code-is-data code counter data labyrinth media test web " ".editorconfig .gitignore .gitmodules .travis.yml CONTRIBUTING.md Cargo.toml LICENSE Makefile README.md THEME.MID botwillacceptanything circle.yml dickbutt.dickbutt github-is-great illacceptanything.github.io index.html recursive requirements.txt site.css version " ".editorconfig .gitignore .gitmodules .travis.yml CONTRIBUTING.md Cargo.toml LICENSE Makefile README.md THEME.MID botwillacceptanything circle.yml code-and-data--cuz-code-is-data code counter data dickbutt.dickbutt github-is-great illacceptanything.github.io index.html labyrinth media recursive requirements.txt site.css test version web " illacceptanything_illacceptanything
4 0.00 1.00 "" "Eighties.icls LICENSE README.md Spacegray.icls " "Eighties.icls LICENSE README.md Spacegray.icls " abhimanyu003_phpstorm-spacegray
9 0.22 0.78 "app gradle " ".gitignore README.md build.gradle gradle.properties gradlew gradlew.bat settings.gradle " ".gitignore README.md app build.gradle gradle.properties gradle gradlew gradlew.bat settings.gradle " coding-jam_databinding
5 0.40 0.60 "app lib " ".bowerrc README.md index.html " ".bowerrc README.md app index.html lib " pdsullivan_pdsullivan
4 0.25 0.75 "_layouts " ".gitignore _config.yml index.mkd " ".gitignore _config.yml _layouts index.mkd " google_google
