size labels tags issues branches languages forks commits comments repo_name
4664 6 0 15 1 4 335 893 11 railsgirls_railsgirls
328577 6 0 9 3 4 69 944 0 infochimps-labs_big_data_for_chimps
50 6 0 0 1 0 429 57 0 chaconnewu_free-data-science-books
144631 7 0 0 1 1 377 28 0 benjamin-chan_GettingAndCleaningData
129538 7 0 1 1 4 70 187 0 epfml_ML_course
1122 7 0 0 1 3 81 36 0 BinRoot_Haskell-Data-Analysis-Cookbook
477 8 0 1 1 0 954 246 3 bulutyazilim_awesome-datascience
3909 7 0 0 1 1 80 68 0 mikeckennedy_python-jumpstart-course-demos
58654 6 0 0 1 0 67 12 0 herrfz_dataanalysis
311478 6 1 1 1 9 143 360 0 profjsb_python-bootcamp
25 7 0 5 1 0 339 47 1 open-source-society_data-science
9863 7 0 11 1 4 91 48 0 PENGZhaoqing_CourseSelect
50300 7 1 3 1 7 50 299 0 TelerikAcademy_Databases
999 6 0 1 1 1 127 20 0 jdavis_latex-homework-template
61643 6 0 510 1 0 41386 3 23 rdpeng_ExData_Plotting1
7527 7 0 0 1 11 95 51 0 berkeley-cs186_course-sp15
83 7 0 3 1 0 448 75 1 jonathan-bower_DataScienceResources
551 6 1 8 1 3 77 42 0 DataScienceToolbox_data-science-toolbox
137664 7 0 0 1 4 93 115 0 gboeing_urban-data-science
33563 7 0 0 1 2 94 119 0 aloctavodia_Doing_bayesian_data_analysis
24907 6 0 0 1 1 54 24 0 AllenDowney_DataScience
3994 7 0 0 1 5 20 21 0 byorgey_haskell-course
6362 6 0 0 2 3 26 33 0 jdleesmiller_latex-course
962 7 0 6 2 0 111 63 0 lyzidiamond_learn-geojson
24821 7 0 0 1 0 62 107 0 CSC-510_Course
142925 7 0 1 2 4 1993 60 0 sux13_DataScienceSpCourseNotes
83184 0 0 2 2 1 62 198 0 dataiap_dataiap
457 7 0 4 1 0 141 109 0 tayiorbeii_egghead
7394 6 0 5 1 3 71 142 0 hackman_linux-sysadmin-course
44824 7 0 0 1 1 0 6 0 open-nsm_course
180 6 0 1 1 1 139 12 0 chrisclark_PythonForDataScience
293481 7 0 2 1 0 82 11 0 MicrosoftLearning_Analyzing-Visualizing-Data-Excel
15860 7 0 1 1 3 125 106 0 briandalessandro_DataScienceCourse
5362 2 14 26 9 1 39 412 6 substance_data
76 7 0 1 1 0 49 94 0 jxieeducation_DIY-Data-Science
1498807 7 0 2 3 0 212 12 1 zipfian_data-science-primer
29130 7 0 5 2 2 544 74 0 jhu-ep-coursera_fullstack-course5
100 7 0 1 1 0 758 104 0 Developer-Y_cs-video-courses
19078 7 0 3 1 2 632 71 0 rhiever_Data-Analysis-and-Machine-Learning-Projects
44810 7 0 0 1 2 21 313 0 ml6973_Course
8891 7 0 0 3 2 103 102 0 jadianes_data-science-your-way
7447 7 0 0 1 3 526 270 12 bardcollege_bardcollege
859145 6 0 0 5 6 42 167 0 jmankoff_data
31465 9 0 3 3 3 1387 135 0 jhu-ep-coursera_fullstack-course4
5046 6 0 0 3 1 3 175 0 pitosalas_course
276196 7 0 5 1 6 42 179 2 ml4a_ml4a
1343 0 0 6 4 4 190 484 18 coffeescript-cookbook_coffeescript-cookbook
151843 7 0 4 4 5 44 477 0 ledeprogram_courses
63 7 0 0 1 2 460 97 0 ujjwalkarn_DataSciencePython
1428 7 0 16 2 3 3017 443 5 prakhar1989_awesome-courses
38205 7 0 5 2 2 16 207 0 stephens999_fiveMinuteStats
3992 7 0 0 1 6 7 1313 0 UCSB-CS56-F16_UCSB-CS56-F16
421 6 0 0 1 3 131 20 0 gumption_Python_for_Data_Science
48186 7 0 15 1 0 238 485 0 chyyuu_os_course_spoc_exercises
9868 9 0 0 1 0 59 231 0 asu-cis-capstone_course-info
17726 7 0 0 1 1 434 336 0 lgreski_datasciencectacontent
40306 6 0 0 5 6 43 635 1 bangbangcon_bangbangcon
194947 7 0 1 1 10 49 622 0 WebGLSamples_WebGLSamples
251 7 0 0 1 2 16 37 0 boniface_course
8705 6 0 17 2 5 319 148 1 jeroenjanssens_data-science-at-the-command-line
12 5 0 5 1 0 5 24 0 mapschool_course
5344 7 0 0 1 1 1 11 0 plushogskolan_data
334 7 0 3 1 1 41 92 12 QuantumFractal_Data-Structure-Zoo
546 3 0 8 1 0 0 57 0 uit-inf-3203_Course
1568 7 0 6 1 2 2440 284 2 DataScienceSpecialization_DataScienceSpecialization
2450 7 0 0 1 2 8 202 1 artemmavrin_latex-homework
39281 6 0 3 1 10 97 489 1 camenergydatalab_EnergyDataSimulationChallenge
148469 6 0 6 2 3 847 60 0 nborwankar_LearnDataScience
264 6 0 3 2 3 65 81 0 Baeldung_course
4322 6 0 1 1 3 47 201 0 iamralpht_iamralpht
406364 7 0 5 7 8 34 885 9 DaveBackus_Data_Bootcamp
48486 7 0 0 1 5 4 460 0 softEcon_course
541 11 0 21 4 3 104 95 4 drivendata_cookiecutter-data-science
7204 7 0 10 22 6 46 344 0 MIDS-scaling-up_coursework
220445 7 0 1 1 3 42 161 0 words-sdsc_coursera
52273 7 0 6 2 2 81 493 0 tuhdo_tuhdo
3943 7 0 0 1 3 35 64 0 vnpy_vnpy
54699 7 0 5 1 7 54 416 2 cs1331_cs1331
4736 9 0 7 5 5 1 67 21 dyweb_course
2309 7 0 4 1 1 431 25 0 jhu-ep-coursera_fullstack-course1-module1
67 7 0 0 1 1 138 19 4 EasyD_IntroToDataScience
101 7 0 0 1 0 20 230 0 cbahlai_OSRR_course
156389 6 0 5 1 3 609 51 2 jtleek_dataanalysis
2123 7 0 17 1 6 70 5 0 objcio_core-data
44602 6 0 0 1 8 298 372 0 DrSkippy_Data-Science-45min-Intros
45319 7 1 0 1 3 100 35 0 mbtaviz_mbtaviz
1572 6 0 2 1 1 141 3 0 jmstanto_data-science-r
3794 7 1 0 1 0 10 67 0 micrum_course
19360 7 0 1 2 3 106 39 0 chrisdaly_Data-Scientist-MOOC
38806 7 0 16 4 5 160 969 32 STAT545-UBC_STAT545-UBC
56472 7 0 1 2 4 71 267 0 msr-ds3_coursework
627 7 8 1 2 4 45 502 0 angular-university_courses
432 7 0 0 1 1 105 2 0 alignedleft_data-vis-d3
14259 7 0 60 1 3 985 275 5 cs231n_cs231n
23522 7 0 0 1 3 36 152 0 hanzichi_hanzichi
1083379 6 0 89 4 7 23169 261 2 DataScienceSpecialization_courses
3890 7 0 0 1 4 3 66 0 mausv_Course
2903 7 3 0 1 3 27 286 0 uxrecipe_uxrecipe
8315 15 2 27 17 4 114 1850 0 rangle_ngCourse2
125994 7 1 8 8 7 98 401 0 fbkarsdorp_python-course
32506 6 0 5 2 1 35 67 0 hmason_datastorytelling
5361 7 2 1 2 0 93 268 0 CSC-DevOps_Course
23341 7 0 0 1 2 1 47 0 hmods_course
586 0 0 10 1 5 174 54 1 saasbook_courseware
180647 7 0 7 1 7 251 735 1 mahmoudparsian_data-algorithms-book
13007 6 0 3 1 2 119 18 0 yhat_DataGotham2013
2845 6 0 3 1 4 33 5 0 sevenweeks_databases
215 7 0 18 1 1 934 63 0 joelgrus_data-science-from-scratch
17818 7 0 3 5 5 325 24 0 jhu-ep-coursera_fullstack-course1-module3
136 7 0 0 1 1 64 4 0 rajeshsubramanian_datasciencecoursera
5509 7 0 17 1 1 409 76 0 LyndonChin_MasteringAndroidDataBinding
95 7 0 9 1 0 216 86 0 Quartz_bad-data-guide
157514 0 0 1 1 3 206 3 0 zhouxc_Stanford-Machine-Learning-Course
48327 6 0 77 13 1 4924 897 30 swirldev_swirl_courses
2322 6 0 25 1 4 140 229 0 rjurney_Agile_Data_Code
4502 0 0 0 1 9 2 19 0 paramaggarwal_course
3414 0 0 15 4 5 597 883 0 tonymorris_course
157 7 0 0 1 1 42 22 0 berkeley-cs186_course
