size labels tags issues branches languages forks commits comments repo_name
15187 7 0 1 1 2 1 30 0 WSU-323-Spring2015_Course
1590 7 0 7 1 1 22 237 0 ga-students_bewd_10_nyc_homework
15796 0 0 0 1 11 3 193 0 dvirazulay_homework
132 6 0 2 1 0 48 1 0 rhyndo_webdesign-course
30294 7 0 5 1 4 51 16 0 vitaly-chibrikov_homework_tester
27628 7 0 0 1 3 2 4 0 webdesigndecal_homework
18885 8 0 1 2 5 19 559 8 sf-wdi-22-23_23-homework
26240 4 0 0 2 3 5 42 0 beta_homework
21333 7 0 4 1 4 26 258 0 ga-students_bewd_11_nyc_homework
424 7 0 3 1 1 12 54 0 jelementary-finches_homework
1273 6 0 0 1 1 27 13 0 redfern314_olinjs-5-hw
918 7 0 32 1 1 31 6 0 pcantrell_comp225-registrar
468 6 0 0 1 0 1 16 0 zhaqiang_homework
1134 6 0 1 1 15 63 79 0 kirbs-_edX-Learning-From-Data-Solutions
43 7 0 0 1 1 2 7 0 Nataliya-Linchevska_Homework
8169 7 0 0 2 8 10 397 0 51reboot_actual_07_homework
39 7 0 0 1 1 4 39 0 cis198-2016f_homework
184870 7 0 2 2 1 13 210 0 SwiftOldDriver_SwiftHomework
248 7 0 0 1 0 27 5 0 Bogazici-CMPE548-Spring2016_Cmpe548-Assignment1
163972 7 0 5 1 0 169 64 4 goit-fe_markup_fe2o
1117 6 0 0 1 3 106 53 0 rilian_saas-homework
206 7 0 13 1 1 14 2 0 tiyd-python-2015-05_palindrome
15080 7 0 0 1 7 34 101 0 ddtm_dl-course
1055 7 0 0 1 1 39 2 0 boothappdev_week_2_homework
226 7 0 5 1 0 16 2 0 CSCI391_homework3
12 7 0 0 1 1 83 1 0 iosdecal_ios-decal-hw1
32905 7 0 8 1 5 29 505 0 ga-students_bewd_sf_8_homework
655 6 0 0 1 4 24 284 0 YelimarRodriguez_BEWD_NYC_5_Homework
634 0 0 0 3 7 0 97 0 ELLIOTTCABLE_Homework
204 7 0 4 1 6 14 6 0 zhoujianer_TCP-homework
6446 6 0 2 1 1 607 65 1 bcaffo_Caffo-Coursera
113 7 0 0 2 1 59 8 0 dsgn425-s15_week_1_homework
28858 6 0 55 40 1 103 7 0 makersquare_ruby-course
206 0 0 0 2 1 62 51 0 fatroom_cs373
630 7 0 0 1 4 30 21 0 boothappdev-s15_homework_fortune_teller
11201 6 0 17 1 1 28 184 0 ga-students_BEWD_NYC_9_Homework
1794 6 0 0 1 3 67 24 1 codeschool_EmberCourseDemo
3125 7 0 0 1 6 0 19 0 wangqiaoxi2016_homework
16 7 0 0 1 1 4 20 0 Sta323-Sp16_Homework
113 6 0 0 1 1 37 4 0 kiei925-winter14_week3-homework
457 6 0 14 1 1 14 2 0 tdyer_ga-git-hw
162893 7 0 421 2 2 94 15 2 harvard-cs205_cs205-homework
