total dirs files folder_names file_names fo_and_fi_names repo_name
5 0.40 0.60 "binaries source " ".gitignore LICENSE.md README.md " ".gitignore LICENSE.md README.md binaries source " SpikedCola_DownloadCourseSmartBooks
14 0.07 0.93 "_eric6project " ".gitattributes .gitignore Course.coverage Course.e4p Course.profile Course.py Course.pyc Course.timings Course.ui README.md Ui_Course.py Ui_Course.pyc __init__.py " ".gitattributes .gitignore Course.coverage Course.e4p Course.profile Course.py Course.pyc Course.timings Course.ui README.md Ui_Course.py Ui_Course.pyc __init__.py _eric6project " Syhen_Course
15 0.33 0.67 "assets lib readme screenshots src " ".DS_Store .gitignore Cakefile background.html coursera-downloader.zip github-fork-me.png manifest.json options.html package.json readme.md " ".DS_Store .gitignore Cakefile assets background.html coursera-downloader.zip github-fork-me.png lib manifest.json options.html package.json readme.md readme screenshots src " ivan-dyachenko_coursera-downloader
15 0.80 0.20 "01_DataScientistToolbox 02_RProgramming 03_GettingData 04_ExploratoryAnalysis 05_ReproducibleResearch 06_StatisticalInference 07_RegressionModels 08_PracticalMachineLearning 09_DevelopingDataProducts assets libraries librariesNew " ".gitignore .nojekyll README.md " ".gitignore .nojekyll 01_DataScientistToolbox 02_RProgramming 03_GettingData 04_ExploratoryAnalysis 05_ReproducibleResearch 06_StatisticalInference 07_RegressionModels 08_PracticalMachineLearning 09_DevelopingDataProducts README.md assets libraries librariesNew " DataScienceSpecialization_courses
1 0.00 1.00 "" "README.md " "README.md " lighterCoder_course
15 0.60 0.40 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile app bin config.ru config db lib log public test vendor " emeshch_course
14 0.43 0.57 "application extend public runtime thinkphp vendor " ".gitattributes .gitignore README.md build.php composer.json composer.lock phpunit.xml think " ".gitattributes .gitignore README.md application build.php composer.json composer.lock extend phpunit.xml public runtime think thinkphp vendor " courseweb_course
8 0.62 0.38 "images javascripts js model stylesheets " "README.md index.html params.json " "README.md images index.html javascripts js model params.json stylesheets " a1023456_course
4 0.50 0.50 "src web " ".gitignore lab4.iml " ".gitignore lab4.iml src web " webplan_Course
1 0.00 1.00 "" "README.md " "README.md " TeodorKachev_Course
9 0.11 0.89 "main " "README.md common.c crypt.h decrypt.c encrypt.c keys.c parse.c parse.h " "README.md common.c crypt.h decrypt.c encrypt.c keys.c main parse.c parse.h " Kat6123_Course
8 0.88 0.12 "basic-layouts bootstrap-examples fundamentals includes offcanvasmenu post-tags spinning " "README.md " "README.md basic-layouts bootstrap-examples fundamentals includes offcanvasmenu post-tags spinning " rgoomar_CSS-Crash-Course
1 0.00 1.00 "" "README.md " "README.md " maker2015_course
1 0.00 1.00 "" "ruby_intro.rb " "ruby_intro.rb " 2015E8016061048_course
4 0.75 0.25 "Flappy-Bird Tongue-Twister-Char-LSTM Tongue-Twister-Word-LSTM " "README.md " "Flappy-Bird README.md Tongue-Twister-Char-LSTM Tongue-Twister-Word-LSTM " niatzt_course
16 0.50 0.50 "accounts pages public s_test templates testing treeadmin website " ".gitignore README __init__.py manage.py s_test_code.py settings.py urls.py wsgi.py " ".gitignore README __init__.py accounts manage.py pages public s_test s_test_code.py settings.py templates testing treeadmin urls.py website wsgi.py " Faunris_course
10 0.60 0.40 "DjangoTutorial_v3.5 introduction_course introduction_course_v2 introduction_to_classic_ciphers logging_course unit_testing_course " "README.md introduction_to_classic_ciphers.zip logging_course.zip unit_testing_course.zip " "DjangoTutorial_v3.5 README.md introduction_course introduction_course_v2 introduction_to_classic_ciphers.zip introduction_to_classic_ciphers logging_course.zip logging_course unit_testing_course.zip unit_testing_course " JetBrains_pycharm-courses
4 0.25 0.75 "Course " ".gitattributes .gitignore README.md " ".gitattributes .gitignore Course README.md " clinthiggans_course
7 0.57 0.43 "node_modules public routes views " "README.md app.js package.json " "README.md app.js node_modules package.json public routes views " SebastianSunSun_course
4 0.00 1.00 "" "LICENSE.md README.md index.js package.json " "LICENSE.md README.md index.js package.json " hughsk_course
1 0.00 1.00 "" "README.md " "README.md " adomce123_course
15 0.53 0.47 "app bin config db lib log public vendor " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile config.ru readme.md " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile app bin config.ru config db lib log public readme.md vendor " zeus7777777_course
5 0.60 0.40 "Coursera Havard edX " ".gitattributes .gitignore " ".gitattributes .gitignore Coursera Havard edX " tuanavu_Course
2 0.00 1.00 "" ".gitignore README.md " ".gitignore README.md " web-se_course
8 0.50 0.50 ".idea course course_tracker static " ".gitignore README.md manage.py requirements.txt " ".gitignore .idea README.md course course_tracker manage.py requirements.txt static " pandamako_course
3 0.00 1.00 "" "20141013.md 项目小组要求.md 项目积分预算指南.md " "20141013.md 项目小组要求.md 项目积分预算指南.md " openxyz_course
16 0.62 0.38 "app config db doc lib log public script test vendor " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile app config.ru config db doc lib log public script test vendor " codingdojoinstructor_course
3 0.00 1.00 "" "123.txt README.md ruby_intro.rb " "123.txt README.md ruby_intro.rb " codlife_course
3 0.00 1.00 "" "README.md course.css course.html " "README.md course.css course.html " justgrace93_course
1 0.00 1.00 "" "README.md " "README.md " youssifjoe_course
12 0.83 0.17 "Demo Distribution_Analysis_Course FourDayCourse OnlineTutorial_v22 Original Short Short_6_21_2010 ThreeDayCourse_v22 Tutorial University of Washington Class " "GridLAB-D Architecture.pptx ThreeDayCourse_v22.zip " "Demo Distribution_Analysis_Course FourDayCourse GridLAB-D Architecture.pptx OnlineTutorial_v22 Original Short Short_6_21_2010 ThreeDayCourse_v22.zip ThreeDayCourse_v22 Tutorial University of Washington Class " gridlab-d_course
2 0.50 0.50 "bootstrap_code " "README.md " "README.md bootstrap_code " MiracleSnow_course
7 0.57 0.43 "ask etc public uploads " "README.md hello.py init.sh " "README.md ask etc hello.py init.sh public uploads " zkneon_course
18 0.06 0.94 "pdf_files " "README.md RSAT_short.pdf acknowledgements.pdf comparative_genomics.pdf course.css from_footprints_to_networks.pdf gene_classifications.pdf genome_scale_pattern_disco.pdf home.html index.html menu.css pattern_comparison.pdf pattern_discovery_matrices.pdf pattern_prediction_eval.pdf toc.html vanHelden_LesHouches_color.pdf word_count_statistics.pdf " "README.md RSAT_short.pdf acknowledgements.pdf comparative_genomics.pdf course.css from_footprints_to_networks.pdf gene_classifications.pdf genome_scale_pattern_disco.pdf home.html index.html menu.css pattern_comparison.pdf pattern_discovery_matrices.pdf pattern_prediction_eval.pdf pdf_files toc.html vanHelden_LesHouches_color.pdf word_count_statistics.pdf " rsa-tools_course
1 0.00 1.00 "" "README.md " "README.md " PREMD_course
3 0.00 1.00 "" "1.txt 12.txt just test " "1.txt 12.txt just test " AndreiKuzmin_course
1 1.00 0.00 "CourseProjectClient " "" "CourseProjectClient " drafteee_course
5 0.20 0.80 "course " ".gitignore README.md course.sublime-project course.sublime-workspace " ".gitignore README.md course.sublime-project course.sublime-workspace course " hahastudio_Course
8 0.75 0.25 "hw0 hw1 hw2 hw3 hw4 hw5 " ".gitignore README.md " ".gitignore README.md hw0 hw1 hw2 hw3 hw4 hw5 " berkeley-cs186_course-fa15
2 0.00 1.00 "" "presentation.md 좌표계_센서.pptx " "presentation.md 좌표계_센서.pptx " Falcon-in-KAU_Course
3 0.00 1.00 "" "LICENSE README.md course.ttl " "LICENSE README.md course.ttl " f0rer0_course
10 0.50 0.50 "Entity Factory Repository Services Test " ".gitignore .travis.yml README.md composer.json phpunit.xml.dist " ".gitignore .travis.yml Entity Factory README.md Repository Services Test composer.json phpunit.xml.dist " beloop_Course
3 0.00 1.00 "" "Makefile fun.h main.cpp " "Makefile fun.h main.cpp " romangr_course
5 0.60 0.40 "OSDI computer_networking image_processing " ".gitignore .gitmodules " ".gitignore .gitmodules OSDI computer_networking image_processing " LeaYeh_course
16 0.56 0.44 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.md README.rdoc Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.md README.rdoc Rakefile app bin config.ru config db lib log public test vendor " simon19940929_course
