total dirs files folder_names file_names fo_and_fi_names repo_name
0 0.00 0.00 "" "" "" 7rock_homework
13 0.85 0.15 "01 02 03 04 05 06 07 08 09 10 11 " ".gitignore README.md " ".gitignore 01 02 03 04 05 06 07 08 09 10 11 README.md " 51reboot_actual_06_homework
6 0.50 0.50 "doc javadoc src " "LICENSE README.md pom.xml " "LICENSE README.md doc javadoc pom.xml src " coder037_homework
2 0.50 0.50 "OlegTodorashko " "README " "OlegTodorashko README " OlegTodorashko_HomeWork
1 0.00 1.00 "" "README.md " "README.md " HristoAndreev92_Homework
3 0.33 0.67 "src " "HomeWork.iml README.md " "HomeWork.iml README.md src " muratarazgeldiev_HomeWork
1 0.00 1.00 "" "README.md " "README.md " finabay_homework
2 0.00 1.00 "" ".gitattributes .gitignore " ".gitattributes .gitignore " jianwj_Homework
14 0.93 0.07 "3rd year homework seminar1 seminar10 seminar11 seminar12 seminar2 seminar3 seminar4 seminar5 seminar6 seminar7 seminar8 seminar9 " "README.md " "3rd year homework README.md seminar1 seminar10 seminar11 seminar12 seminar2 seminar3 seminar4 seminar5 seminar6 seminar7 seminar8 seminar9 " elmiram_homework
5 0.40 0.60 ".ipynb_checkpoints files " ".gitignore MMDS-001 Homework.ipynb README.md " ".gitignore .ipynb_checkpoints MMDS-001 Homework.ipynb README.md files " tpdi_MMDS-001-Homework
6 0.50 0.50 ".settings WebContent src " ".classpath .gitignore .project " ".classpath .gitignore .project .settings WebContent src " csuyinwei_HomeWork
9 0.78 0.22 "FiveGroup刘琳杰 第0组姜文 第一组 智利超 第三组王涛 第二组安娜 第六组李建宇 第四组智聪阳 " ".gitignore 1.txt " ".gitignore 1.txt FiveGroup刘琳杰 第0组姜文 第一组 智利超 第三组王涛 第二组安娜 第六组李建宇 第四组智聪阳 " zhufengzhufeng_node02_homeWork
1 0.00 1.00 "" "readme.txt " "readme.txt " CepGamer_homework
2 0.50 0.50 "Seatwork " "Seatwork.zip " "Seatwork.zip Seatwork " silentspring829_homework
6 0.00 1.00 "" "Gemfile Gemfile.lock README.md bowling.rb bowling_spec.rb pins.jpg " "Gemfile Gemfile.lock README.md bowling.rb bowling_spec.rb pins.jpg " engwebUM_homework-week3
1 0.00 1.00 "" "homework.pde " "homework.pde " henrybacon_Homework
26 0.88 0.12 "Cyndy528 DaniZaghian FrancescaLong HollisDayCheer KennPangilinan Laulaucia Racha_Bella TannedAlbino TicTacToe angelo2dot0 bgabot89 cd20202 jassaf jenniferkwok jshin8 kizersam krustacean lauraevans99 margauxwithanx mikeypawell mpcowles726 robwills127 willcauthen " ".DS_Store .gitignore README.md " ".DS_Store .gitignore Cyndy528 DaniZaghian FrancescaLong HollisDayCheer KennPangilinan Laulaucia README.md Racha_Bella TannedAlbino TicTacToe angelo2dot0 bgabot89 cd20202 jassaf jenniferkwok jshin8 kizersam krustacean lauraevans99 margauxwithanx mikeypawell mpcowles726 robwills127 willcauthen " sf-wdi-22-23_22-homework
6 0.50 0.50 "Style assets markup " "Components-list.md index.html styleguide.html " "Components-list.md Style assets index.html markup styleguide.html " gadia_HomeWork
3 0.00 1.00 "" "README.md index.js package.json " "README.md index.js package.json " Epam-node-js-training_session-1-homework
1 0.00 1.00 "" "README.md " "README.md " setman852_homework
1 1.00 0.00 "HomeWork " "" "HomeWork " BuhTigo_HomeWork
2 0.00 1.00 "" "LICENSE README.md " "LICENSE README.md " morgan-huang_homework
15 0.60 0.40 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile app bin config.ru config db lib log public test vendor " LEONARDLIE037_homework
9 0.11 0.89 "homework " "0001.txt README.md advice.c advice.h archive-tar.c archive.h jazzyzhong.txt tong.txt " "0001.txt README.md advice.c advice.h archive-tar.c archive.h homework jazzyzhong.txt tong.txt " happyxiaotang_homework
14 0.00 1.00 "" ".gitattributes .gitignore Hw1.pdf Hw1.tex README.md header - प्रतिलिपि.tex header.tex quiz.pdf quiz.tex quizn.tex tute3.1.pdf tute3.1.tex tute3.2.pdf tute3.2.tex " ".gitattributes .gitignore Hw1.pdf Hw1.tex README.md header - प्रतिलिपि.tex header.tex quiz.pdf quiz.tex quizn.tex tute3.1.pdf tute3.1.tex tute3.2.pdf tute3.2.tex " awasthi_homework
3 0.33 0.67 "Play " ".gitignore README.md " ".gitignore Play README.md " iosdecal_ios-decal-hw4
2 0.00 1.00 "" ".gitattributes .gitignore " ".gitattributes .gitignore " likunqiao097304_homework
7 0.57 0.43 ".settings WebContent build src " ".classpath .project sql.xml " ".classpath .project .settings WebContent build sql.xml src " qqfish_bingle
10 0.40 0.60 "mysite nine polls templates " ".gitignore README.md db.sqlite3 manage.py requirements.txt starter.txt " ".gitignore README.md db.sqlite3 manage.py mysite nine polls requirements.txt starter.txt templates " pybursa_djangotutorial
9 0.00 1.00 "" "README.md plot1.R plot1.png plot2.R plot2.png plot3.R plot3.png plot4.R plot4.png " "README.md plot1.R plot1.png plot2.R plot2.png plot3.R plot3.png plot4.R plot4.png " ms-byrd_homework
5 0.60 0.40 "hw0 hw1 hw2 " ".gitignore README.md " ".gitignore README.md hw0 hw1 hw2 " WITS-COMS2001_hw
2 0.50 0.50 "starter-code " "README.md " "README.md starter-code " ga-students_wdi-fundamentals-memorygame
1 1.00 0.00 "Study " "" "Study " leesanggeun_HomeWork
13 0.77 0.23 "2组  张胤 第0组 姜文 第1组 张镇 第4组 罗丹 第5组 郭圆圆 第7组 金敏华 第三组 佟超 第二组 第八组  王直 第六组-张杰 " ".gitignore 1.txt 在线学习 " ".gitignore 1.txt 2组  张胤 在线学习 第0组 姜文 第1组 张镇 第4组 罗丹 第5组 郭圆圆 第7组 金敏华 第三组 佟超 第二组 第八组  王直 第六组-张杰 " zhufengzhufeng_zhufeng_homework8
1 0.00 1.00 "" "test.txt " "test.txt " StAng3r_homework
10 0.50 0.50 ".idea exam2 exams_spring homeworks homeworks_spring " "README.md test.py test1.py test1.txt total.py " ".idea README.md exam2 exams_spring homeworks homeworks_spring test.py test1.py test1.txt total.py " Newstoryworld_homework
3 0.67 0.33 "CS281A VS265 " "README.md " "CS281A README.md VS265 " JesseLivezey_homework
15 0.60 0.40 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.md Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.md Rakefile app bin config.ru config db lib log public test vendor " boothappdev_homework_best_of_everything
4 0.50 0.50 "Analysis of Algorithms CompOrg " ".gitignore readme " ".gitignore Analysis of Algorithms CompOrg readme " geoffhotchkiss_Homework
2 0.50 0.50 "Shawn Santiago " "README.md " "README.md Shawn Santiago " ShawnSantiago_week3-homework
2 0.50 0.50 ".idea " "README.md " ".idea README.md " iskandaryusupov_homework
29 0.93 0.07 "_Alex_Buell _Benjamin_Ellis _Chris_Brown _Greg_Takayama _Hannah_Oppenheimer _James_Barnes _James_Malley _Jennifer_Spriggs _Jennifer_Webb _Jonathan_Lerner _Kellye_Greene _Manjari_Kumar _Mariana_Souza _Matthew_Ferreira _Michael_Shields _Mike_Lewis _Mike_OSullivan _Natali_Toupin _Nick_Phillips _Oleg_Moshkovich _Pamela_Boone _Patsy_Walsh _Philip_Reichen _Rachel_Wu _Ranny_Ma _Roxanne_Gaudiel _Susan_Lynch " ".DS_Store .gitignore " ".DS_Store .gitignore _Alex_Buell _Benjamin_Ellis _Chris_Brown _Greg_Takayama _Hannah_Oppenheimer _James_Barnes _James_Malley _Jennifer_Spriggs _Jennifer_Webb _Jonathan_Lerner _Kellye_Greene _Manjari_Kumar _Mariana_Souza _Matthew_Ferreira _Michael_Shields _Mike_Lewis _Mike_OSullivan _Natali_Toupin _Nick_Phillips _Oleg_Moshkovich _Pamela_Boone _Patsy_Walsh _Philip_Reichen _Rachel_Wu _Ranny_Ma _Roxanne_Gaudiel _Susan_Lynch " ga-students_bewd_10_nyc_homework
2 0.00 1.00 "" "README.md test " "README.md test " memebub_Homework
3 0.33 0.67 "EmailManager " ".gitattributes .gitignore " ".gitattributes .gitignore EmailManager " adrianiurov_Homework
2 0.50 0.50 "tcc " "readme.txt " "readme.txt tcc " jpoehls_homework
5 0.00 1.00 "" "0.txt 1.txt 10.txt 3.txt 9.txt " "0.txt 1.txt 10.txt 3.txt 9.txt " Levshenkov_Homework
6 0.00 1.00 "" ".gitattributes .gitignore bintogray.c graytobin.c readme.txt wk2.txt " ".gitattributes .gitignore bintogray.c graytobin.c readme.txt wk2.txt " macksoneh_homework
1 0.00 1.00 "" "README.md " "README.md " paenov_HomeWork
6 0.17 0.83 "tests " ".gitignore CHANGES README.md index.js package.json " ".gitignore CHANGES README.md index.js package.json tests " Echo3ToEcho7_TAM-HW3
3 0.33 0.67 "16-arraylist " ".gitattributes .gitignore " ".gitattributes .gitignore 16-arraylist " ibelenkiy_Homework
4 0.25 0.75 "src " ".gitignore README.md pom.xml " ".gitignore README.md pom.xml src " emli_homework
5 0.20 0.80 "email.txt " "index.html my_phone phoneMail virus.txt " "email.txt index.html my_phone phoneMail virus.txt " blackneet_homework
