total dirs files folder_names file_names fo_and_fi_names repo_name
5 0.80 0.20 "Learn to Program: Crafting Quality Code POSA cloud-computing stanford-algorithms1 " "README.md " "Learn to Program: Crafting Quality Code POSA README.md cloud-computing stanford-algorithms1 " ppizarro_coursera
6 0.33 0.67 "lib test " ".gitignore .travis.yml README.md Rakefile " ".gitignore .travis.yml README.md Rakefile lib test " nau-comp3320_homework02
5 0.20 0.80 "PhoneDirectory " ".gitattributes .gitignore PhoneDirectory.sln README.md " ".gitattributes .gitignore PhoneDirectory.sln PhoneDirectory README.md " CS273_HW02
5 0.60 0.40 "spec src vendor " ".gitignore SpecRunner.html " ".gitignore SpecRunner.html spec src vendor " makersquare_js-course
16 0.56 0.44 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.md Rakefile config.ru output.log " ".gitignore Gemfile Gemfile.lock README.md Rakefile app bin config.ru config db lib log output.log public test vendor " codeschool_EmberCourseDemo
22 0.91 0.09 "AlexisFelicilda CaylieMorck CedricAmoyal DanielHarsanyi DonnZhao FabioCamatti HarrisonChow JaneHogan JeremyArimado JessicaKang JessicaWhite MarkGo MichaelBlack MonaliSinghi NikMalev PaulaWhite SigmundBautista SimonPanzarino WarmupExercises YumiKo " ".gitignore README.md " ".gitignore AlexisFelicilda CaylieMorck CedricAmoyal DanielHarsanyi DonnZhao FabioCamatti HarrisonChow JaneHogan JeremyArimado JessicaKang JessicaWhite MarkGo MichaelBlack MonaliSinghi NikMalev PaulaWhite README.md SigmundBautista SimonPanzarino WarmupExercises YumiKo " ga-wolf_WDi14-Homework
7 0.57 0.43 "A B G V " ".gitignore LICENSE README.md " ".gitignore A B G LICENSE README.md V " elsys_c-programming-homework
6 0.67 0.33 "COS210 IST239 IST253 stuff " ".gitignore README " ".gitignore COS210 IST239 IST253 README stuff " DavidYKay_homework
16 0.50 0.50 "Carlos_Jaramillo Denys_Katerenchuk Evan_Misshula Min_Ma eric_d images paloma_lopezdemesa xiuyan_ni " ".gitignore LICENSE README.md README.md~ README.org README.org~ fork.jpeg hw1.org " ".gitignore Carlos_Jaramillo Denys_Katerenchuk Evan_Misshula LICENSE Min_Ma README.md README.md~ README.org README.org~ eric_d fork.jpeg hw1.org images paloma_lopezdemesa xiuyan_ni " cuny-ml-f2014_homework1
1 0.00 1.00 "" "cachematrix.R " "cachematrix.R " biofisio32_Coursera
6 0.17 0.83 "src " ".gitignore Gruntfile.coffee README.md changelog.tpl package.json " ".gitignore Gruntfile.coffee README.md changelog.tpl package.json src " Thinking-Oriented-Programming_my-homework
21 0.86 0.14 "Android综合测试 G2015010109 G2015010121 G2015010164 G2015010183 G2015010194 G2015010210 G2015010242 G2015010260 G2015010303 G2015010373 G2015010392 G2015010394 G2015010398 G2015010468 G2015010490 G2015010502 HorizontalListView " "G2015010185 G2015010425 极客班Android应用开发测试题(8月13日).pdf " "Android综合测试 G2015010109 G2015010121 G2015010164 G2015010183 G2015010185 G2015010194 G2015010210 G2015010242 G2015010260 G2015010303 G2015010373 G2015010392 G2015010394 G2015010398 G2015010425 G2015010468 G2015010490 G2015010502 HorizontalListView 极客班Android应用开发测试题(8月13日).pdf " GeekBand_GeekBand-Android-1501-Homework
16 0.56 0.44 "app bin config db lib log public spec vendor " ".gitignore .rspec Gemfile Gemfile.lock README.md Rakefile config.ru " ".gitignore .rspec Gemfile Gemfile.lock README.md Rakefile app bin config.ru config db lib log public spec vendor " appdev-summer15_rock_paper_scissors_homework
9 0.78 0.22 "FiveGroup刘琳杰 第0组姜文 第一组 智利超 第三组王涛 第二组安娜 第六组李建宇 第四组智聪阳 " ".gitignore 1.txt " ".gitignore 1.txt FiveGroup刘琳杰 第0组姜文 第一组 智利超 第三组王涛 第二组安娜 第六组李建宇 第四组智聪阳 " zhufengzhufeng_node02_homeWork
6 0.17 0.83 "images " "README.md app.js app_v2.js index.html main.css " "README.md app.js app_v2.js images index.html main.css " wdi-sf-jan_dom_lab
6 0.33 0.67 "node_modules tests " ".gitignore README.md functions.js package.json " ".gitignore README.md functions.js node_modules package.json tests " devleague_prep-js-functions
